p1_dc,format,city,state,segment_code,consensus_qty,brick_description,forecast_qty,brand,segment,division,brick_code,class_code,division_code,vertical,store_no,batchno,status,article_id,month_year,pin_code,region,wom,family_code,class,sd,article_description,kvi,npi,sold_qty
R396,digitaldc,Bangalore,Karnataka,FJ,0.0,REF ACCESSORIES,58.0,V Guard,LARGE APPLIANCES,CDIT,FJ0201007,FJ0201,902,Electronics,NA,20241101,active,490967957,11-2024,562123,South,1,FJ02,REFRIGERATOR,VGUARDREFSTABVGSD100,V Guard Ref Stab 1KVA VGSD 100,NA,NA,40.0
S0UG,digitaldc,Gannavaram,Andhra Pradesh,FJ,0.0,REF ACCESSORIES,2.0,V Guard,LARGE APPLIANCES,CDIT,FJ0201007,FJ0201,902,Electronics,NA,20241101,active,490967957,11-2024,521107,South,1,FJ02,REFRIGERATOR,VGUARDREFSTABVGSD100,V Guard Ref Stab 1KVA VGSD 100,NA,NA,1.0
SJ99,digitaldc,Sriperumbudur,Tamil Nadu,FJ,0.0,REF ACCESSORIES,30.0,V Guard,LARGE APPLIANCES,CDIT,FJ0201007,FJ0201,902,Electronics,NA,20241101,active,490967957,11-2024,602105,South,1,FJ02,REFRIGERATOR,VGUARDREFSTABVGSD100,V Guard Ref Stab 1KVA VGSD 100,NA,NA,38.0
S0TC,digitaldc,Palladam,Tamil Nadu,FJ,0.0,REF ACCESSORIES,16.0,V Guard,LARGE APPLIANCES,CDIT,FJ0201007,FJ0201,902,Electronics,NA,20241101,active,490967957,11-2024,641402,South,1,FJ02,REFRIGERATOR,VGUARDREFSTABVGSD100,V Guard Ref Stab 1KVA VGSD 100,NA,NA,11.0
SD78,digitaldc,Ernakulam,Kerala,FJ,0.0,REF ACCESSORIES,8.0,V Guard,LARGE APPLIANCES,CDIT,FJ0201007,FJ0201,902,Electronics,NA,20241101,active,490967957,11-2024,683561,South,1,FJ02,REFRIGERATOR,VGUARDREFSTABVGSD100,V Guard Ref Stab 1KVA VGSD 100,NA,NA,5.0
SE40,digitaldc,Hyderabad,Telangana,FJ,0.0,REF ACCESSORIES,9.0,V Guard,LARGE APPLIANCES,CDIT,FJ0201007,FJ0201,902,Electronics,NA,20241101,active,490967957,11-2024,501401,South,1,FJ02,REFRIGERATOR,VGUARDREFSTABVGSD100,V Guard Ref Stab 1KVA VGSD 100,NA,NA,7.0
S573,digitaldc,Raipur,Chattisgarh,FJ,0.0,REF ACCESSORIES,0.0,V Guard,LARGE APPLIANCES,CDIT,FJ0201007,FJ0201,902,Electronics,NA,20241101,active,490967957,11-2024,493111,West,1,FJ02,REFRIGERATOR,VGUARDREFSTABVGSD100,V Guard Ref Stab 1KVA VGSD 100,NA,NA,1.0
SJ99,digitaldc,Sriperumbudur,Tamil Nadu,FJ,0.0,REF ACCESSORIES,49.0,V Guard,LARGE APPLIANCES,CDIT,FJ0201007,FJ0201,902,Electronics,NA,20241101,active,490967956,11-2024,602105,South,1,FJ02,REFRIGERATOR,VGUARDREFSTABVGSD50,V Guard Ref Stab 500VA VGSD 50,NA,NA,14.0
S0UG,digitaldc,Gannavaram,Andhra Pradesh,FJ,0.0,REF ACCESSORIES,5.0,V Guard,LARGE APPLIANCES,CDIT,FJ0201007,FJ0201,902,Electronics,NA,20241101,active,490967956,11-2024,521107,South,1,FJ02,REFRIGERATOR,VGUARDREFSTABVGSD50,V Guard Ref Stab 500VA VGSD 50,NA,NA,1.0
R396,digitaldc,Bangalore,Karnataka,FJ,0.0,REF ACCESSORIES,136.0,V Guard,LARGE APPLIANCES,CDIT,FJ0201007,FJ0201,902,Electronics,NA,20241101,active,490967956,11-2024,562123,South,1,FJ02,REFRIGERATOR,VGUARDREFSTABVGSD50,V Guard Ref Stab 500VA VGSD 50,NA,NA,79.0
S0TC,digitaldc,Palladam,Tamil Nadu,FJ,0.0,REF ACCESSORIES,4.0,V Guard,LARGE APPLIANCES,CDIT,FJ0201007,FJ0201,902,Electronics,NA,20241101,active,490967956,11-2024,641402,South,1,FJ02,REFRIGERATOR,VGUARDREFSTABVGSD50,V Guard Ref Stab 500VA VGSD 50,NA,NA,10.0
SD78,digitaldc,Ernakulam,Kerala,FJ,0.0,REF ACCESSORIES,9.0,V Guard,LARGE APPLIANCES,CDIT,FJ0201007,FJ0201,902,Electronics,NA,20241101,active,490967956,11-2024,683561,South,1,FJ02,REFRIGERATOR,VGUARDREFSTABVGSD50,V Guard Ref Stab 500VA VGSD 50,NA,NA,4.0
SE40,digitaldc,Hyderabad,Telangana,FJ,0.0,REF ACCESSORIES,17.0,V Guard,LARGE APPLIANCES,CDIT,FJ0201007,FJ0201,902,Electronics,NA,20241101,active,490967956,11-2024,501401,South,1,FJ02,REFRIGERATOR,VGUARDREFSTABVGSD50,V Guard Ref Stab 500VA VGSD 50,NA,NA,16.0
R804,digitaldc,Vizag,Andhra Pradesh,FJ,0.0,REF ACCESSORIES,1.0,V Guard,LARGE APPLIANCES,CDIT,FJ0201007,FJ0201,902,Electronics,NA,20241101,active,490967956,11-2024,530046,South,1,FJ02,REFRIGERATOR,VGUARDREFSTABVGSD50,V Guard Ref Stab 500VA VGSD 50,NA,NA,0.0
R696,digitaldc,Bhiwandi,Maharashtra,FJ,0.0,REF ACCESSORIES,1.0,PRIME,LARGE APPLIANCES,CDIT,FJ0201007,FJ0201,902,Electronics,NA,20241101,oop,490419569,11-2024,421302,West,1,FJ02,REFRIGERATOR,FRIDGE BOTTLE 1.5L,FRIDGE BOTTLE 1.5L,NA,NA,0.0
SJ93,digitaldc,Farrukhnagar,Haryana,FJ,0.0,REF ACCESSORIES,1.0,OTHERS,LARGE APPLIANCES,CDIT,FJ0201007,FJ0201,902,Electronics,NA,20241101,oop,491473286,11-2024,122506,North,1,FJ02,REFRIGERATOR,Aerrow Trolley,Aerrow Universal Trolley Stand SS-9610,NA,NA,0.0
SJ99,digitaldc,Sriperumbudur,Tamil Nadu,FJ,0.0,REF ACCESSORIES,2.0,OTHERS,LARGE APPLIANCES,CDIT,FJ0201007,FJ0201,902,Electronics,NA,20241101,oop,491473286,11-2024,602105,South,1,FJ02,REFRIGERATOR,Aerrow Trolley,Aerrow Universal Trolley Stand SS-9610,NA,NA,0.0
R201,digitaldc,Cuttack,Orissa,FJ,0.0,REF ACCESSORIES,0.0,OTHERS,LARGE APPLIANCES,CDIT,FJ0201007,FJ0201,902,Electronics,NA,20241101,oop,491473286,11-2024,754002,East,1,FJ02,REFRIGERATOR,Aerrow Trolley,Aerrow Universal Trolley Stand SS-9610,NA,NA,2.0
SC28,digitaldc,Lucknow,Uttar Pradesh,FJ,0.0,REF ACCESSORIES,1.0,OTHERS,LARGE APPLIANCES,CDIT,FJ0201007,FJ0201,902,Electronics,NA,20241101,oop,491473286,11-2024,226401,North 1,1,FJ02,REFRIGERATOR,Aerrow Trolley,Aerrow Universal Trolley Stand SS-9610,NA,NA,0.0
SLKO,digitaldc,Howrah,West Bengal,FJ,0.0,REF ACCESSORIES,1.0,OTHERS,LARGE APPLIANCES,CDIT,FJ0201007,FJ0201,902,Electronics,NA,20241101,oop,491473286,11-2024,711310,East,1,FJ02,REFRIGERATOR,Aerrow Trolley,Aerrow Universal Trolley Stand SS-9610,NA,NA,2.0
SLTY,digitaldc,Ahmedabad,Gujarat,FJ,0.0,REF ACCESSORIES,1.0,OTHERS,LARGE APPLIANCES,CDIT,FJ0201007,FJ0201,902,Electronics,NA,20241101,oop,491473286,11-2024,382240,West,1,FJ02,REFRIGERATOR,Aerrow Trolley,Aerrow Universal Trolley Stand SS-9610,NA,NA,0.0
R810,digitaldc,Jaipur,Rajasthan,FJ,0.0,REF ACCESSORIES,1.0,OTHERS,LARGE APPLIANCES,CDIT,FJ0201007,FJ0201,902,Electronics,NA,20241101,oop,491473286,11-2024,302022,North,1,FJ02,REFRIGERATOR,Aerrow Trolley,Aerrow Universal Trolley Stand SS-9610,NA,NA,0.0
SJ93,digitaldc,Farrukhnagar,Haryana,FJ,0.0,REF ACCESSORIES,1.0,Samsung,LARGE APPLIANCES,CDIT,FJ0201007,FJ0201,902,Electronics,NA,20241101,active,493620748,11-2024,122506,North,1,FJ02,REFRIGERATOR,SS SBPNL RA-F18DBB33,SAMSUNG SBSPANEL RA-F18DBB33 BTTM CH BLK,NA,NA,0.0
SE40,digitaldc,Hyderabad,Telangana,FJ,0.0,REF ACCESSORIES,1.0,Samsung,LARGE APPLIANCES,CDIT,FJ0201007,FJ0201,902,Electronics,NA,20241101,active,493620748,11-2024,501401,South,1,FJ02,REFRIGERATOR,SS SBPNL RA-F18DBB33,SAMSUNG SBSPANEL RA-F18DBB33 BTTM CH BLK,NA,NA,0.0
SJ93,digitaldc,Farrukhnagar,Haryana,FJ,0.0,REF ACCESSORIES,1.0,Samsung,LARGE APPLIANCES,CDIT,FJ0201007,FJ0201,902,Electronics,NA,20241101,active,493620741,11-2024,122506,North,1,FJ02,REFRIGERATOR,SS SBPNL RA-F18DUU32,SAMSUNG SBSPANEL RA-F18DUU32 UPPR GLMPNK,NA,NA,0.0
SJ93,digitaldc,Farrukhnagar,Haryana,FJ,0.0,REF ACCESSORIES,1.0,Samsung,LARGE APPLIANCES,CDIT,FJ0201007,FJ0201,902,Electronics,NA,20241101,active,493620743,11-2024,122506,North,1,FJ02,REFRIGERATOR,SS SBPNL RA-F18DUU35,SAMSUNG SBSPANEL RA-F18DUU35 UPPR GLMWHT,NA,NA,0.0
SJ93,digitaldc,Farrukhnagar,Haryana,FJ,0.0,REF ACCESSORIES,2.0,Samsung,LARGE APPLIANCES,CDIT,FJ0201007,FJ0201,902,Electronics,NA,20241101,active,493620744,11-2024,122506,North,1,FJ02,REFRIGERATOR,SS SBPNL RA-F18DBB35,SAMSUNG SBSPANEL RA-F18DBB35 BTTM GLMWHT,NA,NA,0.0
SJ93,digitaldc,Farrukhnagar,Haryana,FJ,0.0,REF ACCESSORIES,1.0,Samsung,LARGE APPLIANCES,CDIT,FJ0201007,FJ0201,902,Electronics,NA,20241101,active,493620747,11-2024,122506,North,1,FJ02,REFRIGERATOR,SS SBPNL RA-F18DUU33,SAMSUNG SBSPANEL RA-F18DUU33 UPPR CH BLK,NA,NA,0.0
SE40,digitaldc,Hyderabad,Telangana,FJ,0.0,REF ACCESSORIES,1.0,Samsung,LARGE APPLIANCES,CDIT,FJ0201007,FJ0201,902,Electronics,NA,20241101,active,493620747,11-2024,501401,South,1,FJ02,REFRIGERATOR,SS SBPNL RA-F18DUU33,SAMSUNG SBSPANEL RA-F18DUU33 UPPR CH BLK,NA,NA,0.0
R396,digitaldc,Bangalore,Karnataka,FJ,0.0,REF ACCESSORIES,0.0,IFB,LARGE APPLIANCES,CDIT,FJ0201007,FJ0201,902,Electronics,NA,20241101,active,494426356,11-2024,562123,South,1,FJ02,REFRIGERATOR,IFB 213/223/232LBLUE,IFB REF PEDESTAL 213/223/232L BLUE,NA,NA,2.0
SLKO,digitaldc,Howrah,West Bengal,FJ,0.0,REF ACCESSORIES,1.0,IFB,LARGE APPLIANCES,CDIT,FJ0201007,FJ0201,902,Electronics,NA,20241101,active,494426356,11-2024,711310,East,1,FJ02,REFRIGERATOR,IFB 213/223/232LBLUE,IFB REF PEDESTAL 213/223/232L BLUE,NA,NA,1.0
