p1_dc,format,city,state,segment_code,consensus_qty,brick_description,forecast_qty,brand,segment,division,brick_code,class_code,division_code,vertical,store_no,batchno,status,article_id,month_year,pin_code,region,wom,family_code,class,sd,article_description,kvi,npi,sold_qty
S0TC,digitaldc,Palladam,Tamil Nadu,FH,2.0,LED TV 75 N ABOVE,0.0,BPL,ENT,CDIT,FH0103003,FH0103,902,Electronics,NA,20241101,active,491893311,11-2024,641402,South,1,FH01,LARGE SCREEN ABOVE 54 INCH,BPL TV 75U-A4010,BPL 75 4K UHD SMART ANDROID TV 75U-A4010,non kvi,NA,0.0
R394,digitaldc,Patna,Bihar,FH,2.0,LED TV 75 N ABOVE,0.0,BPL,ENT,CDIT,FH0103003,FH0103,902,Electronics,NA,20241101,active,491893311,11-2024,800007,East,1,FH01,LARGE SCREEN ABOVE 54 INCH,BPL TV 75U-A4010,BPL 75 4K UHD SMART ANDROID TV 75U-A4010,non kvi,NA,0.0
V014,digitaldc,Pune,Maharashtra,FH,0.0,LED TV 75 N ABOVE,1.0,BPL,ENT,CDIT,FH0103003,FH0103,902,Electronics,NA,20241101,active,491893311,11-2024,413802,West,1,FH01,LARGE SCREEN ABOVE 54 INCH,BPL TV 75U-A4010,BPL 75 4K UHD SMART ANDROID TV 75U-A4010,NA,NA,0.0
S597,digitaldc,Guwahati,Assam,FH,2.0,LED TV 75 N ABOVE,0.0,BPL,ENT,CDIT,FH0103003,FH0103,902,Electronics,NA,20241101,active,491893311,11-2024,781031,East,1,FH01,LARGE SCREEN ABOVE 54 INCH,BPL TV 75U-A4010,BPL 75 4K UHD SMART ANDROID TV 75U-A4010,non kvi,NA,0.0
SLTY,digitaldc,Ahmedabad,Gujarat,FH,0.0,LED TV 75 N ABOVE,0.0,BPL,ENT,CDIT,FH0103003,FH0103,902,Electronics,NA,20241101,active,491893311,11-2024,382240,West,1,FH01,LARGE SCREEN ABOVE 54 INCH,BPL TV 75U-A4010,BPL 75 4K UHD SMART ANDROID TV 75U-A4010,non kvi,NA,1.0
S0IC,digitaldc,Hosakote,Karnataka,FH,0.0,LED TV 75 N ABOVE,0.0,TCL,ENT,CDIT,FH0103003,FH0103,902,Electronics,NA,20241101,active,494443431,11-2024,562114,Bangalore,1,FH01,LARGE SCREEN ABOVE 54 INCH,TCL 85 QLED Google TV 85C655,TCL 85 QLED Google TV 85C655,non kvi,NA,0.0
S0TC,digitaldc,Palladam,Tamil Nadu,FH,0.0,LED TV 75 N ABOVE,0.0,TCL,ENT,CDIT,FH0103003,FH0103,902,Electronics,NA,20241101,active,494443431,11-2024,641402,South,1,FH01,LARGE SCREEN ABOVE 54 INCH,TCL 85 QLED Google TV 85C655,TCL 85 QLED Google TV 85C655,non kvi,NA,0.0
V014,digitaldc,Pune,Maharashtra,FH,0.0,LED TV 75 N ABOVE,0.0,TCL,ENT,CDIT,FH0103003,FH0103,902,Electronics,NA,20241101,active,494443431,11-2024,413802,West,1,FH01,LARGE SCREEN ABOVE 54 INCH,TCL 85 QLED Google TV 85C655,TCL 85 QLED Google TV 85C655,non kvi,NA,1.0
SE40,digitaldc,Hyderabad,Telangana,FH,0.0,LED TV 75 N ABOVE,0.0,TCL,ENT,CDIT,FH0103003,FH0103,902,Electronics,NA,20241101,active,494443431,11-2024,501401,South,1,FH01,LARGE SCREEN ABOVE 54 INCH,TCL 85 QLED Google TV 85C655,TCL 85 QLED Google TV 85C655,non kvi,NA,2.0
SLOR,digitaldc,Dehradun,Uttarakhand,FH,0.0,LED TV 75 N ABOVE,0.0,TCL,ENT,CDIT,FH0103003,FH0103,902,Electronics,NA,20241101,active,494443431,11-2024,248001,North,1,FH01,LARGE SCREEN ABOVE 54 INCH,TCL 85 QLED Google TV 85C655,TCL 85 QLED Google TV 85C655,non kvi,NA,1.0
S0CV,digitaldc,Rajpura,Punjab,FH,0.0,LED TV 75 N ABOVE,0.0,TCL,ENT,CDIT,FH0103003,FH0103,902,Electronics,NA,20241101,active,494443431,11-2024,140401,North,1,FH01,LARGE SCREEN ABOVE 54 INCH,TCL 85 QLED Google TV 85C655,TCL 85 QLED Google TV 85C655,non kvi,NA,0.0
SLTY,digitaldc,Ahmedabad,Gujarat,FH,0.0,LED TV 75 N ABOVE,0.0,TCL,ENT,CDIT,FH0103003,FH0103,902,Electronics,NA,20241101,active,494443431,11-2024,382240,West,1,FH01,LARGE SCREEN ABOVE 54 INCH,TCL 85 QLED Google TV 85C655,TCL 85 QLED Google TV 85C655,non kvi,NA,2.0
R696,digitaldc,Bhiwandi,Maharashtra,FH,0.0,LED TV 75 N ABOVE,0.0,TCL,ENT,CDIT,FH0103003,FH0103,902,Electronics,NA,20241101,active,494443431,11-2024,421302,West,1,FH01,LARGE SCREEN ABOVE 54 INCH,TCL 85 QLED Google TV 85C655,TCL 85 QLED Google TV 85C655,non kvi,NA,0.0
SJ93,digitaldc,Farrukhnagar,Haryana,FH,0.0,LED TV 75 N ABOVE,0.0,TCL,ENT,CDIT,FH0103003,FH0103,902,Electronics,NA,20241101,active,494443431,11-2024,122506,North,1,FH01,LARGE SCREEN ABOVE 54 INCH,TCL 85 QLED Google TV 85C655,TCL 85 QLED Google TV 85C655,non kvi,NA,2.0
SACU,digitaldc,Nagpur,Maharashtra,FH,0.0,LED TV 75 N ABOVE,0.0,TCL,ENT,CDIT,FH0103003,FH0103,902,Electronics,NA,20241101,active,494443431,11-2024,441122,West,1,FH01,LARGE SCREEN ABOVE 54 INCH,TCL 85 QLED Google TV 85C655,TCL 85 QLED Google TV 85C655,non kvi,NA,1.0
S0UG,digitaldc,Gannavaram,Andhra Pradesh,FH,0.0,LED TV 75 N ABOVE,0.0,TCL,ENT,CDIT,FH0103003,FH0103,902,Electronics,NA,20241101,active,494443431,11-2024,521107,South,1,FH01,LARGE SCREEN ABOVE 54 INCH,TCL 85 QLED Google TV 85C655,TCL 85 QLED Google TV 85C655,non kvi,NA,1.0
R396,digitaldc,Bangalore,Karnataka,FH,0.0,LED TV 75 N ABOVE,0.0,TCL,ENT,CDIT,FH0103003,FH0103,902,Electronics,NA,20241101,active,494443431,11-2024,562123,South,1,FH01,LARGE SCREEN ABOVE 54 INCH,TCL 85 QLED Google TV 85C655,TCL 85 QLED Google TV 85C655,non kvi,NA,5.0
SC28,digitaldc,Lucknow,Uttar Pradesh,FH,0.0,LED TV 75 N ABOVE,0.0,TCL,ENT,CDIT,FH0103003,FH0103,902,Electronics,NA,20241101,active,494443431,11-2024,226401,North 1,1,FH01,LARGE SCREEN ABOVE 54 INCH,TCL 85 QLED Google TV 85C655,TCL 85 QLED Google TV 85C655,non kvi,NA,1.0
SJ99,digitaldc,Sriperumbudur,Tamil Nadu,FH,0.0,LED TV 75 N ABOVE,0.0,TCL,ENT,CDIT,FH0103003,FH0103,902,Electronics,NA,20241101,active,494443431,11-2024,602105,South,1,FH01,LARGE SCREEN ABOVE 54 INCH,TCL 85 QLED Google TV 85C655,TCL 85 QLED Google TV 85C655,non kvi,NA,1.0
SJ99,digitaldc,Sriperumbudur,Tamil Nadu,FH,1.0,LED TV 75 N ABOVE,0.0,TCL,ENT,CDIT,FH0103003,FH0103,902,Electronics,NA,20241101,active,494249864,11-2024,602105,South,1,FH01,LARGE SCREEN ABOVE 54 INCH,TCL 75C755,TCL 75 Mini LED GOOGLE TV 75C755,non kvi,NA,0.0
R696,digitaldc,Bhiwandi,Maharashtra,FH,1.0,LED TV 75 N ABOVE,2.0,TCL,ENT,CDIT,FH0103003,FH0103,902,Electronics,NA,20241101,active,494249864,11-2024,421302,West,1,FH01,LARGE SCREEN ABOVE 54 INCH,TCL 75C755,TCL 75 Mini LED GOOGLE TV 75C755,non kvi,NA,0.0
S0CV,digitaldc,Rajpura,Punjab,FH,0.0,LED TV 75 N ABOVE,0.0,TCL,ENT,CDIT,FH0103003,FH0103,902,Electronics,NA,20241101,active,494249864,11-2024,140401,North,1,FH01,LARGE SCREEN ABOVE 54 INCH,TCL 75C755,TCL 75 Mini LED GOOGLE TV 75C755,non kvi,NA,1.0
R396,digitaldc,Bangalore,Karnataka,FH,1.0,LED TV 75 N ABOVE,1.0,TCL,ENT,CDIT,FH0103003,FH0103,902,Electronics,NA,20241101,active,494249864,11-2024,562123,South,1,FH01,LARGE SCREEN ABOVE 54 INCH,TCL 75C755,TCL 75 Mini LED GOOGLE TV 75C755,non kvi,NA,0.0
SLTY,digitaldc,Ahmedabad,Gujarat,FH,2.0,LED TV 75 N ABOVE,2.0,TCL,ENT,CDIT,FH0103003,FH0103,902,Electronics,NA,20241101,active,494249864,11-2024,382240,West,1,FH01,LARGE SCREEN ABOVE 54 INCH,TCL 75C755,TCL 75 Mini LED GOOGLE TV 75C755,non kvi,NA,0.0
SJ93,digitaldc,Farrukhnagar,Haryana,FH,1.0,LED TV 75 N ABOVE,1.0,TCL,ENT,CDIT,FH0103003,FH0103,902,Electronics,NA,20241101,active,494249864,11-2024,122506,North,1,FH01,LARGE SCREEN ABOVE 54 INCH,TCL 75C755,TCL 75 Mini LED GOOGLE TV 75C755,non kvi,NA,1.0
SE40,digitaldc,Hyderabad,Telangana,FH,1.0,LED TV 75 N ABOVE,1.0,TCL,ENT,CDIT,FH0103003,FH0103,902,Electronics,NA,20241101,active,494249864,11-2024,501401,South,1,FH01,LARGE SCREEN ABOVE 54 INCH,TCL 75C755,TCL 75 Mini LED GOOGLE TV 75C755,non kvi,NA,0.0
SACU,digitaldc,Nagpur,Maharashtra,FH,0.0,LED TV 75 N ABOVE,1.0,TCL,ENT,CDIT,FH0103003,FH0103,902,Electronics,NA,20241101,active,494410500,11-2024,441122,West,1,FH01,LARGE SCREEN ABOVE 54 INCH,TCL 75 QLED SMART GOOGLE TV 75C655,TCL 75 QLED SMART GOOGLE TV 75C655,non kvi,NA,1.0
R396,digitaldc,Bangalore,Karnataka,FH,0.0,LED TV 75 N ABOVE,9.0,TCL,ENT,CDIT,FH0103003,FH0103,902,Electronics,NA,20241101,active,494410500,11-2024,562123,South,1,FH01,LARGE SCREEN ABOVE 54 INCH,TCL 75 QLED SMART GOOGLE TV 75C655,TCL 75 QLED SMART GOOGLE TV 75C655,non kvi,NA,6.0
R810,digitaldc,Jaipur,Rajasthan,FH,1.0,LED TV 75 N ABOVE,1.0,TCL,ENT,CDIT,FH0103003,FH0103,902,Electronics,NA,20241101,active,494410500,11-2024,302022,North,1,FH01,LARGE SCREEN ABOVE 54 INCH,TCL 75 QLED SMART GOOGLE TV 75C655,TCL 75 QLED SMART GOOGLE TV 75C655,non kvi,NA,0.0
S0UG,digitaldc,Gannavaram,Andhra Pradesh,FH,0.0,LED TV 75 N ABOVE,0.0,TCL,ENT,CDIT,FH0103003,FH0103,902,Electronics,NA,20241101,active,494410500,11-2024,521107,South,1,FH01,LARGE SCREEN ABOVE 54 INCH,TCL 75 QLED SMART GOOGLE TV 75C655,TCL 75 QLED SMART GOOGLE TV 75C655,non kvi,NA,1.0
S0CV,digitaldc,Rajpura,Punjab,FH,0.0,LED TV 75 N ABOVE,0.0,TCL,ENT,CDIT,FH0103003,FH0103,902,Electronics,NA,20241101,active,494410500,11-2024,140401,North,1,FH01,LARGE SCREEN ABOVE 54 INCH,TCL 75 QLED SMART GOOGLE TV 75C655,TCL 75 QLED SMART GOOGLE TV 75C655,non kvi,NA,3.0
SC28,digitaldc,Lucknow,Uttar Pradesh,FH,0.0,LED TV 75 N ABOVE,0.0,TCL,ENT,CDIT,FH0103003,FH0103,902,Electronics,NA,20241101,active,494410500,11-2024,226401,North 1,1,FH01,LARGE SCREEN ABOVE 54 INCH,TCL 75 QLED SMART GOOGLE TV 75C655,TCL 75 QLED SMART GOOGLE TV 75C655,non kvi,NA,4.0
