p1_dc,format,city,state,segment_code,consensus_qty,brick_description,forecast_qty,brand,segment,division,brick_code,class_code,division_code,vertical,store_no,batchno,status,article_id,month_year,pin_code,region,wom,family_code,class,sd,article_description,kvi,npi,sold_qty
SE40,DIGITAL DC,Hyderabad,Telangana,FI,0.0,CANNISTER VACUM CLNR,1.6305018663406372,Prestige,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,491891884,11-2024,501401,South,1,FI02,FLOOR CARE SOLUTIONS,Prestige Typhoon05,PRESTIGE VC WET N DRY TYPHOON 05,NA,NA,0.0
R394,DIGITAL DC,Patna,Bihar,FI,0.0,CANNISTER VACUM CLNR,0.6590140461921692,Prestige,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,491891884,11-2024,800007,East,1,FI02,FLOOR CARE SOLUTIONS,Prestige Typhoon05,PRESTIGE VC WET N DRY TYPHOON 05,NA,NA,0.0
R696,DIGITAL DC,Bhiwandi,Maharashtra,FI,0.0,CANNISTER VACUM CLNR,0.9714878797531128,Prestige,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,491891884,11-2024,421302,West,1,FI02,FLOOR CARE SOLUTIONS,Prestige Typhoon05,PRESTIGE VC WET N DRY TYPHOON 05,NA,NA,0.0
SJ99,DIGITAL DC,Sriperumbudur,Tamil Nadu,FI,0.0,CANNISTER VACUM CLNR,1.2465994358062744,Prestige,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,491891884,11-2024,602105,South,1,FI02,FLOOR CARE SOLUTIONS,Prestige Typhoon05,PRESTIGE VC WET N DRY TYPHOON 05,NA,NA,0.0
S0TC,DIGITAL DC,Palladam,Tamil Nadu,FI,0.0,CANNISTER VACUM CLNR,0.6590140461921692,Prestige,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,491891884,11-2024,641402,South,1,FI02,FLOOR CARE SOLUTIONS,Prestige Typhoon05,PRESTIGE VC WET N DRY TYPHOON 05,NA,NA,0.0
R201,DIGITAL DC,Cuttack,Orissa,FI,0.0,CANNISTER VACUM CLNR,0.1843348890542984,Prestige,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,491891884,11-2024,754002,East,1,FI02,FLOOR CARE SOLUTIONS,Prestige Typhoon05,PRESTIGE VC WET N DRY TYPHOON 05,NA,NA,0.0
SD78,DIGITAL DC,Ernakulam,Kerala,FI,0.0,CANNISTER VACUM CLNR,0.6590140461921692,Prestige,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,491891884,11-2024,683561,South,1,FI02,FLOOR CARE SOLUTIONS,Prestige Typhoon05,PRESTIGE VC WET N DRY TYPHOON 05,NA,NA,0.0
R396,DIGITAL DC,Bangalore,Karnataka,FI,0.0,CANNISTER VACUM CLNR,1.3553903102874756,Prestige,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,491891884,11-2024,562123,South,1,FI02,FLOOR CARE SOLUTIONS,Prestige Typhoon05,PRESTIGE VC WET N DRY TYPHOON 05,NA,NA,0.0
S573,DIGITAL DC,Raipur,Chattisgarh,FI,0.0,CANNISTER VACUM CLNR,0.0,Prestige,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,491891884,11-2024,493111,West,1,FI02,FLOOR CARE SOLUTIONS,Prestige Typhoon05,PRESTIGE VC WET N DRY TYPHOON 05,NA,NA,1.0
R810,DIGITAL DC,Jaipur,Rajasthan,FI,0.0,CANNISTER VACUM CLNR,1.3180280923843384,Prestige,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,491891884,11-2024,302022,North,1,FI02,FLOOR CARE SOLUTIONS,Prestige Typhoon05,PRESTIGE VC WET N DRY TYPHOON 05,NA,NA,0.0
SLLN,DIGITAL DC,Siliguri,West Bengal,FI,0.0,CANNISTER VACUM CLNR,0.6232997179031372,Prestige,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,491891884,11-2024,735135,East,1,FI02,FLOOR CARE SOLUTIONS,Prestige Typhoon05,PRESTIGE VC WET N DRY TYPHOON 05,NA,NA,0.0
SJ99,DIGITAL DC,Sriperumbudur,Tamil Nadu,FI,0.0,CANNISTER VACUM CLNR,1.9413278102874756,Philips,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,493620581,11-2024,602105,South,1,FI02,FLOOR CARE SOLUTIONS,PHILIPS VC FC9571/01,PHILIPS VACUUM CLEANER BAGLESS FC9571/01,NA,NA,2.0
SACU,DIGITAL DC,Nagpur,Maharashtra,FI,0.0,CANNISTER VACUM CLNR,0.6590140461921692,Philips,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,493620581,11-2024,441122,West,1,FI02,FLOOR CARE SOLUTIONS,PHILIPS VC FC9571/01,PHILIPS VACUUM CLEANER BAGLESS FC9571/01,NA,NA,1.0
SD78,DIGITAL DC,Ernakulam,Kerala,FI,0.0,CANNISTER VACUM CLNR,1.1528494358062744,Philips,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,493620581,11-2024,683561,South,1,FI02,FLOOR CARE SOLUTIONS,PHILIPS VC FC9571/01,PHILIPS VACUUM CLEANER BAGLESS FC9571/01,NA,NA,1.0
Y695,DIGITAL DC,Jammu,Jammu And Kashmir,FI,0.0,CANNISTER VACUM CLNR,0.6232997179031372,Philips,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,493620581,11-2024,180010,North,1,FI02,FLOOR CARE SOLUTIONS,PHILIPS VC FC9571/01,PHILIPS VACUUM CLEANER BAGLESS FC9571/01,NA,NA,0.0
R278,DIGITAL DC,Ranchi,Jharkhand,FI,0.0,CANNISTER VACUM CLNR,2.289515972137451,Philips,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,493620581,11-2024,834010,East,1,FI02,FLOOR CARE SOLUTIONS,PHILIPS VC FC9571/01,PHILIPS VACUUM CLEANER BAGLESS FC9571/01,NA,NA,0.0
SLKO,DIGITAL DC,Howrah,West Bengal,FI,0.0,CANNISTER VACUM CLNR,0.6590140461921692,Philips,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,493620581,11-2024,711310,East,1,FI02,FLOOR CARE SOLUTIONS,PHILIPS VC FC9571/01,PHILIPS VACUUM CLEANER BAGLESS FC9571/01,NA,NA,0.0
SLTY,DIGITAL DC,Ahmedabad,Gujarat,FI,0.0,CANNISTER VACUM CLNR,1.7404348850250244,Philips,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,493620581,11-2024,382240,West,1,FI02,FLOOR CARE SOLUTIONS,PHILIPS VC FC9571/01,PHILIPS VACUUM CLEANER BAGLESS FC9571/01,NA,NA,0.0
S0TC,DIGITAL DC,Palladam,Tamil Nadu,FI,0.0,CANNISTER VACUM CLNR,0.6590140461921692,Philips,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,493620581,11-2024,641402,South,1,FI02,FLOOR CARE SOLUTIONS,PHILIPS VC FC9571/01,PHILIPS VACUUM CLEANER BAGLESS FC9571/01,NA,NA,0.0
SE40,DIGITAL DC,Hyderabad,Telangana,FI,0.0,CANNISTER VACUM CLNR,0.6590140461921692,Philips,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,493620581,11-2024,501401,South,1,FI02,FLOOR CARE SOLUTIONS,PHILIPS VC FC9571/01,PHILIPS VACUUM CLEANER BAGLESS FC9571/01,NA,NA,0.0
R201,DIGITAL DC,Cuttack,Orissa,FI,0.0,CANNISTER VACUM CLNR,2.9485299587249756,Philips,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,493620581,11-2024,754002,East,1,FI02,FLOOR CARE SOLUTIONS,PHILIPS VC FC9571/01,PHILIPS VACUUM CLEANER BAGLESS FC9571/01,NA,NA,0.0
V014,DIGITAL DC,Pune,Maharashtra,FI,0.0,CANNISTER VACUM CLNR,1.7761491537094116,Philips,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,493620581,11-2024,413802,West,1,FI02,FLOOR CARE SOLUTIONS,PHILIPS VC FC9571/01,PHILIPS VACUUM CLEANER BAGLESS FC9571/01,NA,NA,1.0
SJ93,DIGITAL DC,Farrukhnagar,Haryana,FI,0.0,CANNISTER VACUM CLNR,2.8203909397125244,Philips,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,493620581,11-2024,122506,North,1,FI02,FLOOR CARE SOLUTIONS,PHILIPS VC FC9571/01,PHILIPS VACUUM CLEANER BAGLESS FC9571/01,NA,NA,4.0
R696,DIGITAL DC,Bhiwandi,Maharashtra,FI,0.0,CANNISTER VACUM CLNR,2.5646274089813232,Philips,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,493620581,11-2024,421302,West,1,FI02,FLOOR CARE SOLUTIONS,PHILIPS VC FC9571/01,PHILIPS VACUUM CLEANER BAGLESS FC9571/01,NA,NA,0.0
R396,DIGITAL DC,Bangalore,Karnataka,FI,0.0,CANNISTER VACUM CLNR,3.6075439453125,Philips,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,493620581,11-2024,562123,South,1,FI02,FLOOR CARE SOLUTIONS,PHILIPS VC FC9571/01,PHILIPS VACUUM CLEANER BAGLESS FC9571/01,NA,NA,4.0
R810,DIGITAL DC,Jaipur,Rajasthan,FI,0.0,CANNISTER VACUM CLNR,0.6590140461921692,Philips,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,493620581,11-2024,302022,North,1,FI02,FLOOR CARE SOLUTIONS,PHILIPS VC FC9571/01,PHILIPS VACUUM CLEANER BAGLESS FC9571/01,NA,NA,1.0
SJ99,DIGITAL DC,Sriperumbudur,Tamil Nadu,FI,0.0,CANNISTER VACUM CLNR,0.6590140461921692,Eureka Forbes,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,492391700,11-2024,602105,South,1,FI02,FLOOR CARE SOLUTIONS,EUREKA MaxxVac,EUREKA VACUUM CLEANER MAXXVAC,NA,NA,0.0
SC28,DIGITAL DC,Lucknow,Uttar Pradesh,FI,0.0,CANNISTER VACUM CLNR,0.6590140461921692,Eureka Forbes,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,492391700,11-2024,226401,North 1,1,FI02,FLOOR CARE SOLUTIONS,EUREKA MaxxVac,EUREKA VACUUM CLEANER MAXXVAC,NA,NA,0.0
S597,DIGITAL DC,Guwahati,Assam,FI,0.0,CANNISTER VACUM CLNR,0.0,Eureka Forbes,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,492391700,11-2024,781031,East,1,FI02,FLOOR CARE SOLUTIONS,EUREKA MaxxVac,EUREKA VACUUM CLEANER MAXXVAC,NA,NA,1.0
SJ93,DIGITAL DC,Farrukhnagar,Haryana,FI,0.0,CANNISTER VACUM CLNR,1.0263584852218628,Eureka Forbes,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,492391700,11-2024,122506,North,1,FI02,FLOOR CARE SOLUTIONS,EUREKA MaxxVac,EUREKA VACUUM CLEANER MAXXVAC,NA,NA,0.0
