p1_dc,format,city,state,segment_code,consensus_qty,brick_description,forecast_qty,brand,segment,division,brick_code,class_code,division_code,vertical,store_no,batchno,status,article_id,month_year,pin_code,region,wom,family_code,class,sd,article_description,kvi,npi,sold_qty
R396,digitaldc,Bangalore,Karnataka,FJ,0.0,300L  ABOVE FF REFR,0.0,Whirlpool,LARGE APPLIANCES,CDIT,FJ0201004,FJ0201,902,Electronics,NA,20241201,oop,491666442,12-2024,562123,South,1,FJ02,REFRIGERATOR,WHIRLPOOL IFIVCNVPLN,WHIRLPOOL FF 440L IFINVCNVPLTN 455 ALPST,NA,NA,1.0
S0CV,digitaldc,Rajpura,Punjab,FJ,0.99043956,300L  ABOVE FF REFR,0.0,Whirlpool,LARGE APPLIANCES,CDIT,FJ0201004,FJ0201,902,Electronics,NA,20241201,active,493692430,12-2024,140401,North,1,FJ02,REFRIGERATOR,WHIRLPOOL 2S 21694,WP FF 467L 2S IFINCNVPLATNA515ALHASTELZ,non kvi,NA,0.0
SLW9,digitaldc,Ranchi,Jharkhand,FJ,0.433313979,300L  ABOVE FF REFR,0.0,Whirlpool,LARGE APPLIANCES,CDIT,FJ0201004,FJ0201,902,Electronics,NA,20241201,active,493692430,12-2024,834010,North 2,1,FJ02,REFRIGERATOR,WHIRLPOOL 2S 21694,WP FF 467L 2S IFINCNVPLATNA515ALHASTELZ,non kvi,NA,0.0
S573,digitaldc,Raipur,Chattisgarh,FJ,0.0,300L  ABOVE FF REFR,0.0,Whirlpool,LARGE APPLIANCES,CDIT,FJ0201004,FJ0201,902,Electronics,NA,20241201,active,493692430,12-2024,493111,West,1,FJ02,REFRIGERATOR,WHIRLPOOL 2S 21694,WP FF 467L 2S IFINCNVPLATNA515ALHASTELZ,non kvi,NA,3.0
SLLN,digitaldc,Siliguri,West Bengal,FJ,0.852759825,300L  ABOVE FF REFR,1.0,Whirlpool,LARGE APPLIANCES,CDIT,FJ0201004,FJ0201,902,Electronics,NA,20241201,active,493692430,12-2024,735135,East,1,FJ02,REFRIGERATOR,WHIRLPOOL 2S 21694,WP FF 467L 2S IFINCNVPLATNA515ALHASTELZ,non kvi,NA,2.0
S597,digitaldc,Guwahati,Assam,FJ,0.56850655,300L  ABOVE FF REFR,0.0,Whirlpool,LARGE APPLIANCES,CDIT,FJ0201004,FJ0201,902,Electronics,NA,20241201,active,493692430,12-2024,781031,East,1,FJ02,REFRIGERATOR,WHIRLPOOL 2S 21694,WP FF 467L 2S IFINCNVPLATNA515ALHASTELZ,non kvi,NA,1.0
SJ93,digitaldc,Farrukhnagar,Haryana,FJ,8.253663,300L  ABOVE FF REFR,10.0,Whirlpool,LARGE APPLIANCES,CDIT,FJ0201004,FJ0201,902,Electronics,NA,20241201,active,493692430,12-2024,122506,North,1,FJ02,REFRIGERATOR,WHIRLPOOL 2S 21694,WP FF 467L 2S IFINCNVPLATNA515ALHASTELZ,non kvi,NA,12.0
R696,digitaldc,Bhiwandi,Maharashtra,FJ,10.69695792,300L  ABOVE FF REFR,17.0,Whirlpool,LARGE APPLIANCES,CDIT,FJ0201004,FJ0201,902,Electronics,NA,20241201,active,493692430,12-2024,421302,West,1,FJ02,REFRIGERATOR,WHIRLPOOL 2S 21694,WP FF 467L 2S IFINCNVPLATNA515ALHASTELZ,non kvi,NA,11.0
R804,digitaldc,Vizag,Andhra Pradesh,FJ,3.61305321,300L  ABOVE FF REFR,4.0,Whirlpool,LARGE APPLIANCES,CDIT,FJ0201004,FJ0201,902,Electronics,NA,20241201,active,493692430,12-2024,530046,South,1,FJ02,REFRIGERATOR,WHIRLPOOL 2S 21694,WP FF 467L 2S IFINCNVPLATNA515ALHASTELZ,non kvi,NA,0.0
R394,digitaldc,Patna,Bihar,FJ,0.433313979,300L  ABOVE FF REFR,0.0,Whirlpool,LARGE APPLIANCES,CDIT,FJ0201004,FJ0201,902,Electronics,NA,20241201,active,493692430,12-2024,800007,East,1,FJ02,REFRIGERATOR,WHIRLPOOL 2S 21694,WP FF 467L 2S IFINCNVPLATNA515ALHASTELZ,non kvi,NA,0.0
