p1_dc,format,city,state,segment_code,consensus_qty,brick_description,forecast_qty,brand,segment,division,brick_code,class_code,division_code,vertical,store_no,batchno,status,article_id,month_year,pin_code,region,wom,family_code,class,sd,article_description,kvi,npi,sold_qty
SLLN,digitaldc,Siliguri,West Bengal,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20241201,NA,0,12-2024,735135,East,1,NA,NA,NA,NA,non kvi,NA,0.0
SACU,digitaldc,Nagpur,Maharashtra,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20241201,NA,0,12-2024,441122,West,1,NA,NA,NA,NA,non kvi,NA,0.0
SE40,digitaldc,Hyderabad,Telangana,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20241201,NA,0,12-2024,501401,South,1,NA,NA,NA,NA,non kvi,NA,0.0
S0UG,digitaldc,Gannavaram,Andhra Pradesh,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20241201,NA,0,12-2024,521107,South,1,NA,NA,NA,NA,non kvi,NA,0.0
S0IC,digitaldc,Hosakote,Karnataka,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20241201,NA,0,12-2024,562114,South 1,1,NA,NA,NA,NA,non kvi,NA,0.0
SLGC,digitaldc,Pune,Maharashtra,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20241201,NA,0,12-2024,412216,West,1,NA,NA,NA,NA,non kvi,NA,0.0
S597,digitaldc,Guwahati,Assam,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20241201,NA,0,12-2024,781031,East,1,NA,NA,NA,NA,non kvi,NA,0.0
SC28,digitaldc,Lucknow,Uttar Pradesh,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20241201,NA,0,12-2024,226401,North 1,1,NA,NA,NA,NA,non kvi,NA,0.0
R696,digitaldc,Bhiwandi,Maharashtra,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20241201,NA,0,12-2024,421302,West,1,NA,NA,NA,NA,non kvi,NA,0.0
SLOR,digitaldc,Dehradun,Uttarakhand,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20241201,NA,0,12-2024,248001,North,1,NA,NA,NA,NA,non kvi,NA,0.0
R278,digitaldc,Ranchi,Jharkhand,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20241201,NA,0,12-2024,834010,East,1,NA,NA,NA,NA,non kvi,NA,0.0
R396,digitaldc,Bangalore,Karnataka,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20241201,NA,0,12-2024,562123,South,1,NA,NA,NA,NA,non kvi,NA,0.0
R201,digitaldc,Cuttack,Orissa,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20241201,NA,0,12-2024,754002,East,1,NA,NA,NA,NA,non kvi,NA,0.0
SLTY,digitaldc,Ahmedabad,Gujarat,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20241201,NA,0,12-2024,382240,West,1,NA,NA,NA,NA,non kvi,NA,0.0
SJ99,digitaldc,Sriperumbudur,Tamil Nadu,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20241201,NA,0,12-2024,602105,South,1,NA,NA,NA,NA,non kvi,NA,0.0
SJ48,digitaldc,Dharwad,Karnataka,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20241201,NA,0,12-2024,580011,South 1,1,NA,NA,NA,NA,non kvi,NA,0.0
SJ93,digitaldc,Farrukhnagar,Haryana,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20241201,NA,0,12-2024,122506,North,1,NA,NA,NA,NA,non kvi,NA,0.0
S0TC,digitaldc,Palladam,Tamil Nadu,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20241201,NA,0,12-2024,641402,South,1,NA,NA,NA,NA,non kvi,NA,0.0
V014,digitaldc,Pune,Maharashtra,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20241201,NA,0,12-2024,413802,West,1,NA,NA,NA,NA,non kvi,NA,0.0
SLKO,digitaldc,Howrah,West Bengal,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20241201,NA,0,12-2024,711310,East,1,NA,NA,NA,NA,non kvi,NA,0.0
SLKO,digitaldc,Howrah,West Bengal,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20241201,NA,0,12-2024,711310,East,1,NA,NA,NA,NA,non kvi,NA,0.0
S0TC,digitaldc,Palladam,Tamil Nadu,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20241201,NA,0,12-2024,641402,South,1,NA,NA,NA,NA,non kvi,NA,0.0
SJ93,digitaldc,Farrukhnagar,Haryana,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20241201,NA,0,12-2024,122506,North,1,NA,NA,NA,NA,non kvi,NA,0.0
SC28,digitaldc,Lucknow,Uttar Pradesh,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20241201,NA,0,12-2024,226401,North 1,1,NA,NA,NA,NA,non kvi,NA,0.0
S0UG,digitaldc,Gannavaram,Andhra Pradesh,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20241201,NA,0,12-2024,521107,South,1,NA,NA,NA,NA,non kvi,NA,0.0
SLLN,digitaldc,Siliguri,West Bengal,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20241201,NA,0,12-2024,735135,East,1,NA,NA,NA,NA,non kvi,NA,0.0
SE40,digitaldc,Hyderabad,Telangana,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20241201,NA,0,12-2024,501401,South,1,NA,NA,NA,NA,non kvi,NA,0.0
S0IC,digitaldc,Hosakote,Karnataka,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20241201,NA,0,12-2024,562114,South 1,1,NA,NA,NA,NA,non kvi,NA,0.0
R394,digitaldc,Patna,Bihar,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20241201,NA,0,12-2024,800007,East,1,NA,NA,NA,NA,non kvi,NA,0.0
V014,digitaldc,Pune,Maharashtra,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20241201,NA,0,12-2024,413802,West,1,NA,NA,NA,NA,non kvi,NA,0.0
R810,digitaldc,Jaipur,Rajasthan,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20241201,NA,0,12-2024,302022,North,1,NA,NA,NA,NA,non kvi,NA,0.0
R804,digitaldc,Vizag,Andhra Pradesh,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20241201,NA,0,12-2024,530046,South,1,NA,NA,NA,NA,non kvi,NA,0.0
