p1_dc,format,city,state,segment_code,consensus_qty,brick_description,forecast_qty,brand,segment,division,brick_code,class_code,division_code,vertical,store_no,batchno,status,article_id,month_year,pin_code,region,wom,family_code,class,sd,article_description,kvi,npi,sold_qty
R396,digitaldc,Bangalore,Karnataka,FJ,0.0,REF PROMOTION,0.0,LG,LARGE APPLIANCES,CDIT,FJ0201006,FJ0201,902,Electronics,NA,20250101,oop,491332491,01-2025,562123,South,1,FJ02,REFRIGERATOR,LG 10PCKBGIFT,LG FREEBIE 10PCK BGIFT,NA,NA,1.0
SE40,digitaldc,Hyderabad,Telangana,FJ,0.0,REF PROMOTION,0.0,LG,LARGE APPLIANCES,CDIT,FJ0201006,FJ0201,902,Electronics,NA,20250101,oop,491332491,01-2025,501401,South,1,FJ02,REFRIGERATOR,LG 10PCKBGIFT,LG FREEBIE 10PCK BGIFT,NA,NA,1.0
R394,digitaldc,Patna,Bihar,FJ,0.0,REF PROMOTION,6.0,LG,LARGE APPLIANCES,CDIT,FJ0201006,FJ0201,902,Electronics,NA,20250101,active,494460144,01-2025,800007,East,1,FJ02,REFRIGERATOR,BOROSIL 8PC SET,BOROSIL 8PC SET (KLIP & STORE),NA,NA,10.0
SLTY,digitaldc,Ahmedabad,Gujarat,FJ,0.0,REF PROMOTION,62.0,LG,LARGE APPLIANCES,CDIT,FJ0201006,FJ0201,902,Electronics,NA,20250101,active,494460144,01-2025,382240,West,1,FJ02,REFRIGERATOR,BOROSIL 8PC SET,BOROSIL 8PC SET (KLIP & STORE),NA,NA,77.0
SJ99,digitaldc,Sriperumbudur,Tamil Nadu,FJ,0.0,REF PROMOTION,65.0,LG,LARGE APPLIANCES,CDIT,FJ0201006,FJ0201,902,Electronics,NA,20250101,active,494460144,01-2025,602105,South,1,FJ02,REFRIGERATOR,BOROSIL 8PC SET,BOROSIL 8PC SET (KLIP & STORE),NA,NA,89.0
SC28,digitaldc,Lucknow,Uttar Pradesh,FJ,0.0,REF PROMOTION,43.0,LG,LARGE APPLIANCES,CDIT,FJ0201006,FJ0201,902,Electronics,NA,20250101,active,494460144,01-2025,226401,North 1,1,FJ02,REFRIGERATOR,BOROSIL 8PC SET,BOROSIL 8PC SET (KLIP & STORE),NA,NA,35.0
SLOR,digitaldc,Dehradun,Uttarakhand,FJ,0.0,REF PROMOTION,21.0,LG,LARGE APPLIANCES,CDIT,FJ0201006,FJ0201,902,Electronics,NA,20250101,active,494460144,01-2025,248001,North,1,FJ02,REFRIGERATOR,BOROSIL 8PC SET,BOROSIL 8PC SET (KLIP & STORE),NA,NA,9.0
R804,digitaldc,Vizag,Andhra Pradesh,FJ,0.0,REF PROMOTION,20.0,LG,LARGE APPLIANCES,CDIT,FJ0201006,FJ0201,902,Electronics,NA,20250101,active,494460144,01-2025,530046,South,1,FJ02,REFRIGERATOR,BOROSIL 8PC SET,BOROSIL 8PC SET (KLIP & STORE),NA,NA,24.0
R396,digitaldc,Bangalore,Karnataka,FJ,0.0,REF PROMOTION,219.0,LG,LARGE APPLIANCES,CDIT,FJ0201006,FJ0201,902,Electronics,NA,20250101,active,494460144,01-2025,562123,South,1,FJ02,REFRIGERATOR,BOROSIL 8PC SET,BOROSIL 8PC SET (KLIP & STORE),NA,NA,236.0
S597,digitaldc,Guwahati,Assam,FJ,0.0,REF PROMOTION,11.0,LG,LARGE APPLIANCES,CDIT,FJ0201006,FJ0201,902,Electronics,NA,20250101,active,494460144,01-2025,781031,East,1,FJ02,REFRIGERATOR,BOROSIL 8PC SET,BOROSIL 8PC SET (KLIP & STORE),NA,NA,13.0
