p1_dc,format,city,state,segment_code,consensus_qty,brick_description,forecast_qty,brand,segment,division,brick_code,class_code,division_code,vertical,store_no,batchno,status,article_id,month_year,pin_code,region,wom,family_code,class,sd,article_description,kvi,npi,sold_qty
SJ48,digitaldc,Dharwad,Karnataka,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20250101,NA,0,01-2025,580011,South 1,1,NA,NA,NA,NA,non kvi,NA,0.0
S573,digitaldc,Raipur,Chattisgarh,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20250101,NA,0,01-2025,493111,West,1,NA,NA,NA,NA,non kvi,NA,0.0
R394,digitaldc,Patna,Bihar,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20250101,NA,0,01-2025,800007,East,1,NA,NA,NA,NA,non kvi,NA,0.0
R804,digitaldc,Vizag,Andhra Pradesh,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20250101,NA,0,01-2025,530046,South,1,NA,NA,NA,NA,non kvi,NA,0.0
SACU,digitaldc,Nagpur,Maharashtra,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20250101,NA,0,01-2025,441122,West,1,NA,NA,NA,NA,non kvi,NA,0.0
SLGC,digitaldc,Pune,Maharashtra,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20250101,NA,0,01-2025,412216,West,1,NA,NA,NA,NA,non kvi,NA,0.0
SLJQ,digitaldc,Cuttack,Orissa,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20250101,NA,0,01-2025,754025,East,1,NA,NA,NA,NA,non kvi,NA,0.0
SE40,digitaldc,Hyderabad,Telangana,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20250101,NA,0,01-2025,501401,South,1,NA,NA,NA,NA,non kvi,NA,0.0
SLW9,digitaldc,Ranchi,Jharkhand,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20250101,NA,0,01-2025,834010,North 2,1,NA,NA,NA,NA,non kvi,NA,0.0
S0IC,digitaldc,Hosakote,Karnataka,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20250101,NA,0,01-2025,562114,South 1,1,NA,NA,NA,NA,non kvi,NA,0.0
R278,digitaldc,Ranchi,Jharkhand,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20250101,NA,0,01-2025,834010,East,1,NA,NA,NA,NA,non kvi,NA,0.0
SLTY,digitaldc,Ahmedabad,Gujarat,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20250101,NA,0,01-2025,382240,West,1,NA,NA,NA,NA,non kvi,NA,0.0
SLOR,digitaldc,Dehradun,Uttarakhand,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20250101,NA,0,01-2025,248001,North,1,NA,NA,NA,NA,non kvi,NA,0.0
R810,digitaldc,Jaipur,Rajasthan,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20250101,NA,0,01-2025,302022,North,1,NA,NA,NA,NA,non kvi,NA,0.0
S0UG,digitaldc,Gannavaram,Andhra Pradesh,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20250101,NA,0,01-2025,521107,South,1,NA,NA,NA,NA,non kvi,NA,0.0
S0GZ,digitaldc,Sawer,Madhya Pradesh,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20250101,NA,0,01-2025,453771,West,1,NA,NA,NA,NA,non kvi,NA,0.0
R201,digitaldc,Cuttack,Orissa,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20250101,NA,0,01-2025,754002,East,1,NA,NA,NA,NA,non kvi,NA,0.0
V014,digitaldc,Pune,Maharashtra,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20250101,NA,0,01-2025,413802,West,1,NA,NA,NA,NA,non kvi,NA,0.0
SLLN,digitaldc,Siliguri,West Bengal,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20250101,NA,0,01-2025,735135,East,1,NA,NA,NA,NA,non kvi,NA,0.0
S0CV,digitaldc,Rajpura,Punjab,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20250101,NA,0,01-2025,140401,North,1,NA,NA,NA,NA,non kvi,NA,0.0
S0TC,digitaldc,Palladam,Tamil Nadu,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20250101,NA,0,01-2025,641402,South,1,NA,NA,NA,NA,non kvi,NA,0.0
SLKO,digitaldc,Howrah,West Bengal,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20250101,NA,0,01-2025,711310,East,1,NA,NA,NA,NA,non kvi,NA,0.0
R696,digitaldc,Bhiwandi,Maharashtra,NA,0.0,NA,0.0,BPL,NA,NA,NA,NA,0,Electronics,NA,20250101,NA,0,01-2025,421302,West,1,NA,NA,NA,NA,non kvi,NA,0.0
