l1_token,score,l1_synonym
girls,0.29677,adolescent
girls,0.29677,adolescents
girls,0.29677,daughter
girls,0.29677,daughters
girls,0.29677,teen
girls,0.29677,teenage
girls,0.29677,teenager
girls,0.29677,teenagers
girls,0.73911,teens
girls,0.77759,kids
girls,0.77759,miss
girls,0.24064,kid
girls,0.42008,girl
girls,0.42008,schoolgirl
girls,0.21901,junior
girls,0.79216,juniors
girls,0.18794,her
girls,0.18794,hers
girls,0.18794,herself
girls,0.17559,she
girls,0.17559,sister
girls,0.17559,sisters
girls,0.17559,student
girls,0.17559,students
girls,0.17559,female
girls,0.17559,females
girls,0.77254,feminine
baby,1,baby
baby,0.34012,babies
baby,0.21285,new born
baby,0.2453,newborn
baby,0.2453,newborns
baby,0.66899,toddler
baby,0.46346,toddlers
baby,0.5715,baby girl
baby,0.61137,baby boy
baby,0.71341,infant
baby,0.43597,infants
men,1,men
men,1,mens
men,0.44415,man
men,0.3121,male
men,0.44415,masculine
men,0.82029,males
men,0.82029,mister
men,0.82029,gent
men,0.82029,gents
men,0.82029,gentlemen
men,0.82029,gentleman
men,0.82029,gentlemans
men,0.82029,gentlemens
men,0.82029,brother
men,0.82029,brothers
men,0.82029,guy
men,0.82029,guys
men,0.28272,he
men,0.25018,him
men,0.25018,his
men,0.25018,himself
men,0.28371,father
men,0.28371,fathers
men,0.28371,husband
men,0.28371,fiance
men,0.17071,adult
men,0.17071,youth
men,0.17071,youths
tech,0.34272,earbud
tech,0.34272,earbuds
tech,0.47542,earphones
tech,0.54786,trimmer
tech,0.51574,electronic
toys,0.09981,toy
toys,0.26358,game
toys,0.00339,playing
toys,0.04275,play
toys,0.04275,puzzle
toys,0.04275,puzzles
infants,0.43597,baby
infants,0.86117,babies
infants,0.86117,child
infants,0.86117,children
infants,0.42066,toddler
infants,0.19974,newborn
infants,0.76211,toddlers
infants,0.04104,new born
infants,0.30136,baby girl
infants,0.2291,baby boy
infants,0.32337,infant
infants,1,infants
boys,0.29677,adolescent
boys,0.29677,adolescents
boys,0.19161,teen
boys,0.69102,teens
boys,0.19161,teenage
boys,0.19161,teenager
boys,0.19161,teenagers
boys,0.68737,kids
boys,0.08349,kid
boys,0.1565,brother
boys,0.1565,brothers
boys,0.1565,boy
boys,0.1565,schoolboy
boys,0.17559,student
boys,0.17559,students
boys,0.1565,son
boys,0.1565,sons
boys,0.08852,junior
boys,0.75347,juniors
boys,0.75347,guy
boys,0.75347,guys
boys,0.19161,lad
boys,0.2476,him
boys,0.2476,himself
boys,0.2476,his
boys,0.12936,he
boys,0.12936,male
boys,0.12936,males
care,0.14318,grooming
care,0.4432,personal care
care,0.49676,cares
women,0.37986,woman
women,0.37986,womens
women,0.37986,womans
women,0.37986,gentlewoman
women,0.37986,gentlewomans
women,0.37986,gentlewomen
women,0.37986,gentlewomens
women,0.29096,lady
women,0.68177,ladies
women,0.26365,female
women,0.2446,she
women,0.2446,sister
women,0.2446,sisters
women,0.09172,her
women,0.09172,hers
women,0.18794,herself
women,0.77254,females
women,0.77254,wife
women,0.77254,fiancee
women,0.77254,feminine
women,0.77759,miss
women,0.24942,mother
women,0.82025,mothers
women,0.22515,adult
women,0.82025,youth
women,0.82025,youths
kitchen,0.65124,pantry
kitchen,0.64219,dishwasher
kitchen,0.48924,pantries
kitchen,0.45242,kitchens
kitchen,0.49815,towels
