phrase,phrasekey,is_acronym
levis,levi,1
fort collins,fc,1
iscenery by vero moda,i scenery,1
jdy by only,jdy,1
adidas originals,adi,1
french connection,fcuk,1
tommy hilfiger,tommy,1
na-kd,nakd,1
wknd,wk-nd,1
global desi,gd,1
adidas originals,adi,1
calvin klein jeans,ckj,1
i saw it first,isif,1
lc waikiki,lcw,1
aurelia,aure,1
duke women's,duke,1
reebok classic,rbk,1
vero moda,vm,1
kenneth cole,kc,1
tom tailor,tt,1
barrels and oil,b&o,1
barrels and oil,bo,1
monte carlo,mc,1
point zero,pz,1
scakhi,sakhi,1
grimelange,gm,1
calvin klein underwear,cku,1
pepe jeans,pepe,1
deal jeans,deal,1
chhabra 555,555,1
tally weijl,tw,1
piazza italia,italia,1
aasi-house of nayo,aasi,1
c9 airwear,c9,1
reebok classic,rbk,1
pretty little things,plt,1
duck & cover,d&c,1
duck & cover,dc,1
u.s. polo assn.,uspa,1
jack & jones,j&j,1
jack & jones,jj,1
united colors of benetton,ucb,1
the indian garage co,tig,1
levis,levi,1
calvin klein jeans,ckj,1
tommy hilfiger,tommy,1
pepe jeans,pepe,1
marks & spencer,mns ,1
marks & spencer,m and s,1
marks & spencer,m&s,1
marks & spencer,ms,1
u.s. polo assn.,uspa,1
the indian garage co,tigc,1
tommy hilfiger,th,1
red tape,redtape,1
calvin klein,ck,1
armani exchange,ax,1
a little fable,alf,1
aksk creation,ac,0
brooks brothers,bb,0
carlton london,cl,0
f fitlethics,ff,0
janakdulari creation,jc,0
klas nobl,kn,0
manisha fashion,mf,0
queen games,qg,0
status mantra,sm,0
try feet,tf,0
twin birds,tb,0
austin wood,aw,0
curvy love,cl,0
flying machine kids,fmk,1
imli street,is,0
imperial knots,ik,0
lazy shark,ls,0
make it real,mir,0
moda chales,mc,0
pro-ethic(style developer),,0
style quotient,sq,0
vistas by vani,vbv,1
bohemian homes,bh,0
bon bon,bb,0
cross trekkers,ct,0
global desi,gd,0
leo sansini,ls,0
pc jeweller,pj,0
priyadarshini handloom,ph,0
rajubhai hargovindas,rh,0
rodolfo darrell,rd,0
ted smith,ts,0
under colors of benetton,ucb,0
under colors of benetton,ucob,0
bengal handloom,bh,0
candere by kalyan jewellers,cbkj,1
cap shap,cs,0
catch 5 sssb,c5s,1
cute gang,cg,0
hugo boss,hb,0
shree fashion,sf,0
the jewel basket,tjb,1
united colors of benetton,ucb,1
united colors of benetton,ucob,1
women magic,wm,0
bandidhari fashion,bf,0
child club,cc,0
christofano premium,cp,0
daily object,do,0
deco light,dl,0
en inde,ei,0
forever 21,f21,1
forever glam by pantaloons,fgbp,1
forever glam by pantaloons,fgp,1
hj hasasi,hh,0
mft couture,mc,0
the conversion,tc,0
von huette,vh,0
ben 10,b10,1
calvin klein,ck,0
d kumar,dk,0
dennislingo premium attire,dpa,1
fab woven,fw,0
k lara,kl,0
neu look fashion,nlf,1
rai-ox jeans,j,0
rio girls,rg,0
rudra f a s h i o n,rfashio&,0
rudra f a s h i o n,rfashioa,0
saint lucia,sl,0
veni vidi vici,vvv,1
boston club,bc,0
captain america,ca,0
choppers club,cc,0
coc colours of cotton,ccoc,1
james bond 007,jb007,1
latin quarters,lq,0
rangmanch plus by pantaloons,rpbp,1
rangmanch plus by pantaloons,rpp,1
sitaram designer,sd,0
the mini needle,tmn,1
ud united denim,uud,1
fuel clothing,fc,0
homefab india,hi,0
jaipur fashion mode,jfm,1
jaipur kurti,jk,0
kg frendz,kf,0
kira plastinina,kp,0
ps paul smith,pps,1
styylo jewels,sj,0
zonko style,zs,0
bubble gummers,bg,0
conditions apply,ca,0
dupatta bazaar,db,0
finsbury london,fl,0
four star truck sales,fsts,1
label regalia,lr,0
mini klub,mk,0
nk textiles,nt,0
phive rivers,pr,0
reconnect disney,rd,0
rupa frontline,rf,0
vishal prints,vp,0
yellow delight,yd,0
you bella,yb,0
alan scott,as,0
happy hues,hh,0
hosta homes,hh,0
indian terrain,it,0
lace and me,lnm,1
lace and me,l&m,1
minimalist clothing,mc,0
my my! footwear,mf,0
raa jeans,rj,0
red tape,rt,0
thanku mom studio,tms,1
abon shoes,as,0
cole haan,ch,0
cross wings,cw,0
cult fiction,cf,0
park avenue,pa,0
pretty awesome,pa,0
pretty women,pw,0
silk house,sh,0
style quotient by noi,sqbn,1
style quotient by noi,sqn,1
tally weijl,tw,0
j west,jw,0
manjula sarees,ms,0
monte carlo kids,mck,1
other characters,oc,0
poison ivy,pi,0
purple tree,pt,0
sir corbett,sc,0
ts collection,tc,0
wonder woman,ww,0
a akshat sapphire,aas,0
banjara india,bi,0
bhana fashion,bf,0
fashion victim,fv,0
g star raw,gsr,1
marca disati,md,0
paul street,ps,0
sf jeans by pantaloons,sjbp,1
sf jeans by pantaloons,sjp,1
sweet dreams,sd,0
ajile by pantaloons,abp,0
amari west,aw,0
annabelle by pantaloons,abp,0
eaglewood leathers,el,0
love gen,lg,0
marc jacobs,mj,0
miniklub exclusive for ajio,mefa,0
nexgen club,nc,0
peter england,pe,0
project eve,pe,0
aliz footwear,af,0
avaasa workwear,aw,0
bad habit,bh,0
da milano,dm,0
gulmohar lane,gl,0
harvard business school press,hbsp,1
heather hues,hh,0
mabish by sonal jain,mbsj,0
mattel-hot wheels,w,0
raysfield life style,rls,1
stylee lifestyle,sl,0
vrundavan ethics,ve,0
5elements by radhika gupta,5brg,1
5elements by radhika gupta,5rg,1
anshul fashion,af,0
anuttara fashions,af,0
baby alive,ba,0
cee 18,c18,1
dex flex,df,0
flake liberty,fl,0
ft mnm,fm,0
mannat fashion,mf,0
monte carlo,mc,0
franco leone,fl,0
nh fashion studio,nfs,1
peppa pig,pp,0
saral home,sh,0
shopping queen,sq,0
sujata weaves and prints,sw&p,1
sujata weaves and prints,swnp,1
trunk works,tw,0
waama jewels,wj,0
denizen womens,dw,0
eristona man,em,0
fusion threads,ft,0
lady lyka,ll,0
neon rose,nr,0
rangmanch by pantaloons,rbp,1
royal enfield,re,0
sb subu be with your heart,ssbwyh,0
smart trike,st,0
clora creation,cc,0
furreal friends,ff,0
geroo jaipur,gj,0
monte carlo ladies,mcl,1
sareeslatest designer,sd,0
see by chloe,sbc,0
styylo fashion,sf,0
the jewel factor,tjf,1
u.s. polo assn.,uspa,1
u.s. polo assn.,usp,1
bacca bucci,bb,0
cavalli class,cc,0
creative kid's,c,0
ekta textiles,et,0
hive 91,h91,1
mumble jumble,mj,0
scuderia ferrari,sf,0
studio b40,sb,0
warner brothers,wb,1
warner brothers,wbros,1
women marks,wm,0
adidas originals,ao,0
cross court,cc,0
princess by metro,pbm,0
ruby raang,rr,0
sangam prints,sp,0
star wars,sw,0
william white,ww,0
250 designs,250d,1
doodles home,dh,0
emporio armani,ea,0
harry potter,hp,1
jija antique,ja,0
kira plus,kp,0
montego bay club,mbc,0
neo natives,nn,0
aditi wasan,aw,0
crocodile creek,cc,0
desh bidesh,db,0
mathey- tissot,t,0
native youth,ny,0
portico new york,pny,1
princess diyakumari foundation,pdf,1
sini mini,sm,0
truffle collection,tc,0
allen solly,as,0
indie picks,ip,0
maai we complete you,mwcy,1
ramraj cotton,rc,0
softwear fashion spring,sfs,0
west wood,ww,0
c.n.c plus,cncp,1
comfort toes,ct,0
jumps and bumps,jnb,1
jumps and bumps,j&b,1
parishkaar tex,pt,0
silk blend,sb,0
carlton london sports,cls,1
dc collectibles,dc,0
flying machine,fm,0
forever new,fn,0
kushi flyer,kf,0
world wear footwear,wwf,1
arkina diamonds,ad,0
banarasi style,bs,0
campus sutra,cs,0
colors and blends,c&b,1
colors and blends,cnb,1
fashion tadka mnm,ftm,1
game begins,gb,0
get wrapped,gw,0
marc loire,ml,0
women republic,wr,0
znx clothing,zc,0
deal jeans,dj,0
enamor sleepwear,es,0
indus route by pantaloons,irbp,1
indus route by pantaloons,irp,1
jazzy juniors,jj,0
leather retail,lr,0
metro fashion,mf,0
tommy hilfiger,th,0
varkala silk saree,vss,1
disney frozen,df,0
duke women's,d,0
gur-pernia qureshi,q,0
liquor n poker,lnp,1
liquor n poker,l&p,1
swiss club,sc,0
toy kraft,tk,0
under armour,ua,0
v venue,vv,0
city kart,ck,0
just rhyse,jr,0
lavie sport,ls,0
lux inferno,li,0
marvel avengers,ma,0
tom and jerry,t&j,1
tom and jerry,tnj,1
van heusen,vh,1
volume zero,vz,0
golden peacock,gp,0
havida sarees,hs,0
kara tique,kt,0
kenneth cole,kc,0
miss karter,mk,0
r home,rh,0
shoe craft,sc,0
stole for women,sfw,0
urban banjaran,ub,0
all about pinks,aap,1
calvin klein jeans,ckj,1
eego italy,ei,0
hail women,hw,0
palm tree,pt,0
preet kaur,pk,0
unnati silks,us,0
vijayshree sovani designs,vsd,1
abeer designer,ad,0
auraa trends,at,0
el paso,ep,0
fable street,fs,0
heart of gold,hog,0
logic roots,lr,0
loom legacy,ll,0
maahi styles,ms,0
smugglerz inc.,s,0
sole head,sh,0
stellar home usa,shu,0
ujjwal creation,uc,0
anjni creation,ac,0
da intimo,di,0
disney mickey,dm,0
dugran by dugristyle,dbd,0
palace atelier jaipur,paj,1
sangeeta boochra,sb,0
tender sole,ts,0
twenty dresses,td,0
adwitiya collection,ac,0
armani exchange,ae,0
berry purple,bp,0
carlo romano,cr,0
fashion angels,fa,0
house of kkarma,hok,0
my new born,mnb,0
pierre carlo,pc,0
avi 8,a8,1
go colors,gc,0
plus fit,pf,0
ruf and tuf,r&t,1
ruf and tuf,rnt,1
the assembly,ta,0
thomas and friends,t&f,1
thomas and friends,tnf,1
west elm,we,0
aretha jewels,aj,0
attire 4 ever,a4e,1
dangerous dngrs,dd,0
diya trends,dt,0
ex by excalibur,ebe,0
home affairs,ha,0
jewels galaxy,jg,0
kiana house of fashion,khof,1
maruti art,ma,0
naughty ninos,nn,0
neeta boochra,nb,0
rsk ethnic wear,rew,0
runaya nx,rn,0
safe track,st,0
suket dhir,sd,0
ajay arvindbhai khatri,aak,0
ed hardy,eh,0
ikai asai,ia,0
kicks and crawl,knc,1
kicks and crawl,k&c,1
new roads,nr,0
the kaatn trail,tkt,0
candies by pantaloons,cbp,1
disney plush,dp,0
hey music,hm,0
louis philippe,lp,0
the children's place,tp,0
yb dnmx,yd,0
hats off accessories,hoa,0
ico blue star,ibs,0
leap frog,lf,0
masch sports,ms,0
pretty woman,pw,0
red 5,r5,1
steve madden,sm,0
toffy house,th,0
active soul,as,0
bhana creation,bc,0
big fox,bf,0
cortina eyelet curtain,cec,1
do dhaage,dd,0
hunters bay,hb,0
kb friendz lic,kfl,0
little kids,lk,0
polo ralph lauren,prl,0
rajasthan décor,r,0
route crafts,rc,0
slumber jill,sj,0
berrys intimatess,bi,0
gj baby,gb,0
j fontini,jf,0
kindi kids,kk,0
legal bribe,lb,0
london steps,ls,0
polo plus,pp,0
red rose,rr,0
rj denim,rd,0
star style,ss,0
trendy store,ts,0
9 impression,9i,0
alto vida,av,0
cr7 cristiano ronaldo,cr7,1
global republic,gr,0
kg friends lic,kfl,0
knotty derby,kd,0
ridhas craft,rc,0
sheetal associates,sa,0
sindhi footwear,sf,0
the chennai silks,tcs,1
young wings,yw,0
1 walk,1w,1
aircop premium,ap,0
disney princess,dp,0
go color kids,gck,0
just wow,jw,0
kunal rawal,kr,0
lucy vegona,lv,0
majestic silk,ms,0
simon carter,sc,0
veluet by night,vbn,0
cherry crumble,cc,0
jp jeans,jj,0
kb frendz,kf,0
lux cott's wool,lw,0
om jewells,oj,0
the gusto,tg,0
tom lang london,tll,0
bhana jewells,bj,0
en enora,ee,0
fastrack sunglass,fs,0
liberty style,ls,0
masha and the bear,mntb,1
masha and the bear,m&tb,1
masha and the bear,mnb,1
masha and the bear,m&b,1
mee 4 u,m4u,1
point cove,pc,0
castle hawk,ch,0
kavya fashion,kf,0
kraus jeans,kj,0
michael kors,mk,0
rich touch,rt,0
rug woods,rw,0
thalasi knitfab,tk,0
the white willow,tww,0
18 edition,18e,1
actoholic high on action,ahoa,0
buta buti,bb,0
french flexious,ff,0
kairi india,ki,0
kdiam fashion,kf,0
la zoire,lz,0
orchid blues,ob,0
payal pratap,pp,0
salona bichona,sb,0
silvermerc designs,sd,0
smarty pants,sp,0
stalk buy love,sbl,1
anik saree,as,0
arrow jeans,aj,0
kataan bazaar,kb,0
nauti nati,nn,0
petal home,ph,0
saree mall,sm,0
satyam weaves,sw,0
the kurta express,tke,1
desi weaves,dw,0
fashion stylus,fs,0
jade blue,jb,0
macroman m-series,m,0
moon walk,mw,0
pepe jeans,pj,0
trendy divva,td,0
blue giraffe,bg,0
cross creek,cc,0
hetvi creation,hc,0
i love legacy,ill,0
only vimal,ov,0
shades of life,sol,0
summer somewhere,ss,0
valen club,vc,0
we bare bears,wbb,1
alpha man,am,0
fusion beats,fb,0
la intimo,li,0
lauris karter,lk,0
love and other things,lnot,1
love and other things,l&ot,1
mila baby,mb,0
trishaa by pantaloons,tbp,1
vision express,ve,0
cape canary,cc,0
closet london,cl,0
j style,js,0
jaipur fabric,jf,0
keel toys,kt,0
mickey mouse family,mmf,0
mom's love,l,0
pink chick,pc,0
speed up,su,0
ad by arvind,aba,0
american crew,ac,0
green hill,gh,0
indian roots,ir,0
madhu fashion,mf,0
nino bambino,nb,0
quco the firing style,qtfs,0
ak fashion,af,0
free hand,fh,0
hello design,hd,0
keep cart,kc,0
kg team spirit,kts,0
pink moon,pm,0
purple feather,pf,0
sambalpuri bastralaya,sb,0
the pajama factory,tpf,0
you forever,yf,0
yozty enterprise,ye,0
anna claire,ac,0
arrow sports,as,0
ben sherman,bs,0
code by lifestyle,cbl,0
dymo footwear,df,0
harrytech london,hl,0
raine and jaine,rnj,1
raine and jaine,r&j,1
sandy and ritz,snr,1
sandy and ritz,s&r,1
suumaya lifestyle,sl,0
wobbly walk,ww,0
allen cooper,ac,0
canary london,cl,0
ds fashion,df,0
flying berry,fb,0
john world,jw,0
mumbai slang,ms,0
toy jumble,tj,0
binnis wardrobe,bw,0
cherry crumble by nitt hyman,ccbnh,0
frank martin,fm,0
perfect outlet,po,0
r dezino,rd,0
rex straut jeans,rsj,1
smart fit,sf,0
the ants,ta,0
aawiclo home,ah,0
chelsea king,ck,0
english navy,en,0
jimmy choo,jc,0
juliana dream,jd,0
lee cooper,lc,0
tom hiddle,th,0
weavers villa,wv,0
appe free to be casual,aftbc,0
blackbuk india,bi,0
classic polo,cp,0
hamster london,hl,0
marie claire,mc,0
north star,ns,0
owen hart,oh,0
romeo rossi,rr,0
the dry state,tds,0
zero three,zt,0
angry birds,ab,0
bhama couture,bc,0
fame forever by lifestyle,ffbl,1
fame forever by lifestyle,ffl,1
me lady fashion,mlf,1
pratham blue,pb,0
r reich color,rrc,0
rangapure's bhartiya paridhan,bp,0
rupa jon,rj,0
