,attributevalue,count,normalized_attributevalue,synonyms
0,Spread,49839,spread collar,"[(‘Spread Lapel', 0.635), ('Pointed Collar', 0.6)]"
1,Shirt,7123,shirt collar,"[('Collarband', 0.794), ('Neckband', 0.73), ('Neckline', 0.671)]"
2,Band,5823,band collar,"[('Club collar', 0.546), ('Mandarin collar', 0.498)]"
3,Button-down,5499,button down collar,"[('Button-Tab Collar', 0.824), ('Button-Front Collar', 0.795), ('Pointed Collar', 0.634), ('Club Collar', 0.538)]"
4,Cutaway,5156,cutaway collar,"[('Tab collar', 0.699), ('Point collar', 0.662)]"
5,Mandarin,5018,mandarin collar,"[('Chinese collar', 0.683), ('Notched collar', 0.493), ('Band collar', 0.473), ('Stand-up collar', 0.395)]"
6,Classic,1676,classic collar,"[('Traditional Collar', 0.702), ('Iconic Collar', 0.673), ('Timeless Collar', 0.656)]"
7,Hooded,1255,hooded collar,"[('Funnel neck', 0.693), ('Cowl neck', 0.62), ('Turtleneck', 0.59), ('Drawstring neck', 0.548)]"
8,Bomber,637,bomber collar,"[('Nehru collar', 0.452), ('Rounded collar', 0.423), ('Stand-up collar', 0.419)]"
9,Cuban,342,cuban collar,"[('Notched collar', 0.393)]"
10,Stylised,338,stylised collar,"[('Ornamented Collar', 0.742), ('Adorned Collar', 0.692), ('Embellished Neckline', 0.622), ('Decorated Neckline', 0.584)]"
11,Lapel,311,lapel collar,"[('Notch collar', 0.739), ('Revere collar', 0.68), ('Shawl collar', 0.674)]"
12,Wing,113,wing collar,"[('Club collar', 0.506), ('Peter Pan collar', 0.329)]"
13,Peter Pan,54,peter pan collar,"[('Peter Pan Neckline', 0.708), (‘Club Collar', 0.372)]"
