,attributevalue,count,normalized_attributevalue,synonyms
0,"Cotton, cotton",475010,cotton fabric,"[('Muslin', 0.651), ('Calico', 0.566), ('Voile', 0.526)]"
1,"Polyester, polyester",97069,polyester fabric,"[('Artificial fabric', 0.676), ('Synthetic fabric', 0.621), ('Plastic fabric', 0.597), ('Man-made fabric', 0.447)]"
2,Rayon,37868,rayon fabric,"[('Acetate', 0.494), ('Viscose', 0.491)]"
3,Georgette,30368,georgette fabric,"[('Voile', 0.647), ('Chiffon', 0.617)]"
4,Silk,27575,silk fabric,"[('Organza', 0.507)]"
5,Viscose,23582,viscose fabric,"[('Cellulose fabric', 0.68), ('Rayon fabric', 0.657)]"
6,Nylon,13650,nylon fabric,"[('Spandex fabric', 0.687)]"
7,Fleece,13028,fleece fabric,"[('Fuzzy Fabric', 0.688), ('Furry Fabric', 0.564), ('Fluffy Fabric', 0.561), ('Plush Fabric', 0.48)]"
8,Crepe,12679,crepe fabric,"[('Crêpe de Chine', 0.69), ('Voile', 0.635)]"
9,Art Silk,11995,art silk fabric,"[('Artificial Silk Fabric', 0.801), ('Imitation Silk Fabric', 0.753), ('Synthetic Silk Fabric', 0.687)]"
10,Acrylic,9360,acrylic fabric,"[('Acetate fabric', 0.711)]"
11,Denim,8868,denim fabric,"[('Denim Cloth', 0.863), ('Cotton Denim', 0.799), ('Jeans Material', 0.789), ('Blue Jean Cloth', 0.647)]"
12,"Wool, wool",8625,wool fabric,"[('Woolen cloth', 0.807), ('Flannel', 0.651), ('Tweed', 0.651), ('Fleece', 0.615)]"
13,Banarasi,8388,banarasi fabric,"[('Jamawar', 0.705), ('Silk', 0.616)]"
14,Satin,6825,satin fabric,[]
15,Linen,6497,linen fabric,[]
16,Knit,5938,knit fabric,"[('Knitted Textile', 0.785), ('Ribbing', 0.534), ('Interlock', 0.509), ('Jersey', 0.505)]"
17,Chiffon,5864,chiffon fabric,"[('Tulle', 0.725), ('Gauze', 0.701), ('Voile', 0.634)]"
18,Net,5610,net fabric,"[('Gauze', 0.635), ('Mesh Material', 0.633), ('Lace', 0.6), ('Tulle', 0.567)]"
19,Jacquard,4971,jacquard fabric,"[('Brocatelle', 0.733), ('Damask', 0.651), ('Tapestry', 0.591), ('Brocade', 0.558)]"
