,attributevalue,count,normalized_attributevalue,synonyms
0,"solid, Solid, Solids",313708,solid pattern,"[('Repetitive Design', 0.691), ('Regular Design', 0.627), ('Uniform Print', 0.59), ('Consistent Motif', 0.584)]"
1,Floral,139901,floral pattern,"[('Floral design', 0.694), ('Floral motif', 0.692), ('Floral print', 0.686), ('Floral motifs', 0.665)]"
2,"Graphic, graphic",65214,graphic pattern,"[('Motif', 0.626), ('Print', 0.626), ('Design', 0.618), ('Texture', 0.581)]"
3,"Striped, Stripes, Stripe",56509,stripes pattern,"[('Striped motif', 0.789), ('Striped design', 0.781), ('Striped print', 0.772), ('Striped texture', 0.746)]"
4,Typographic,53958,typographic pattern,"[('Typographic motif', 0.797), ('Typographic style', 0.784), ('Typographic design', 0.757), ('Typographic layout', 0.749)]"
5,Indian,41385,indian pattern,"[('Indian Motif', 0.823), (‘Ethnic Design', 0.62), ('Desi Style', 0.611)]"
6,Textured,38908,textured pattern,"[('Embossed Design', 0.644), (‘Brocade Print', 0.554)]"
7,Embellished,37689,embellished pattern,"[('Elaborate Pattern', 0.648), ('Intricate Design', 0.648), ('Decorative Motif', 0.62), ('Ornate Design', 0.606)]"
8,"Checked, Check, Checks",35438,checks pattern,"[('Motifs', 0.657), ('Designs', 0.653), ('Prints', 0.605), ('Textures', 0.596)]"
9,Geometric,33698,geometric pattern,"[('Geometric Design', 0.769), ('Geometric Print', 0.768), ('Geometric Motif', 0.762), ('Geometric Layout', 0.753)]"
10,Abstract,28072,abstract pattern,"[('Artistic Print', 0.495), ('Visual Texture', 0.467)]"
11,"Colour blocked, Colourblock, Colour-block",22322,colour block pattern,"[('Color-blocking', 0.824), ('Color-clashing', 0.789), ('Color-mixing', 0.752), ('Color-splicing', 0.725)]"
12,Logo,18467,logo pattern,"[('Branding Motif', 0.716), ('Emblem Design', 0.705), ('Graphic Symbol', 0.682), ('Visual Identity', 0.619)]"
13,Micro Print,14925,micro print pattern,"[('Tiny Print Motif', 0.76), ('Miniature Print Design', 0.755), ('Small Scale Print', 0.675), ('Petite Print Pattern', 0.674)]"
14,Novelty,14288,novelty pattern,"[('Unique Print', 0.673), ('Novel Design', 0.667), ('Unusual Motif', 0.639), ('Innovative Style', 0.591)]"
15,Washed,12200,washed pattern,"[('Washed Design', 0.866), ('Blurred Motif', 0.733), ('Faded Print', 0.715), ('Distressed Pattern', 0.706)]"
16,Lace,10913,lace pattern,"[('Intricate Design', 0.513), ('Brocade', 0.49)]"
17,Heathered,10527,heathered pattern,"[('Flecked Motif', 0.732), ('Streaked Texture', 0.673), ('Marled Design', 0.672)]"
18,Leaf,10148,leaf pattern,"[('Leafy motif', 0.627), ('Leafy design', 0.612)]"
19,Embroidery,9784,embroidery pattern,"[('Stitching', 0.675), ('Needlework', 0.652)]"
