,attributevalue,count,normalized_attributevalue,synonyms
0,Regular,73912,regular style,"[('Classic Cut', 0.642), ('Standard Look', 0.63), ('Usual Outfit', 0.61)]"
1,Crew,71114,crew style,[]
2,Classic,66660,classic style,[]
3,Straight,63361,straight style,"[('Tailored', 0.532), ('Crisp', 0.525), ('Streamlined', 0.498), ('Sleek', 0.475)]"
4,Traditional,44256,traditional style,[]
5,A-line,35988,a line style,"[('Cut', 0.736), ('Pattern', 0.659), ('Design', 0.621), ('Silhouette', 0.61)]"
6,Printed,30507,printed style,"[('Printed Look', 0.773), ('Printed Design', 0.764), ('Printed Motif', 0.753), ('Printed Pattern', 0.727)]"
7,Round,29238,round style,"[('Rotund Fashion', 0.748), ('Circular Design', 0.686), ('Orbicular Style', 0.611), ('Spherical Look', 0.557)]"
8,"Polo, Polos",23746,polo style,"[('Button-down ', 0.508), ('Collared ', 0.484), ('Preppy ', 0.453), ('Country Club ', 0.369)]"
9,"Drops & Danglers, Drop & Dangler",20279,drops danglers style,"[('Tassels', 0.525)]"
10,Fit and Flare,17673,fit and flare style,"[('A-line shape', 0.669), ('Flared silhouette', 0.641), ('Bell-bottom', 0.578)]"
11,"Slipons, Slip-Ons, Slip-ons, Slip-on",16794,slip ons style,"[('Slip-ons', 0.743), ('Skimmers', 0.527), ('Loafers', 0.432), ('Moccasins', 0.431)]"
12,Bed Sheets,16748,bed sheets style,"[('Textiles', 0.533), ('Linens', 0.531), ('Fabrics', 0.474), ('Coverings', 0.45)]"
13,"Sweat Shirts, Sweatshirts",16587,sweat shirts style,"[('Hoodies', 0.627), ('Jerseys', 0.606), ('Sweaters', 0.599), ('Pullovers', 0.546)]"
14,Hoodies,15975,hoodies style,"[('Zip-up style', 0.615), ('Sweatshirt style', 0.607), ('Pullover style', 0.6), ('Jumper style', 0.473)]"
15,"Stud, Studs",14267,stud style,"[('Preppy', 0.507), ('Scholarly', 0.505), ('Academic', 0.448), ('Collegiate', 0.447)]"
16,"Pendants, Pendant",12776,pendant style,"[('Lariat Style', 0.696), ('Necklace Style', 0.654)]"
17,Basic,12677,basic style,"[('Classic Design', 0.638), ('Essential Look', 0.606), (‘Fundamental Fashion', 0.592)]"
18,Flared,11600,flared style,"[('Flared Cut', 0.781), ('A-Line', 0.649), ('Bell-Bottom', 0.616), ('Boot-Cut', 0.469)]"
19,Lace-Ups,10585,lace ups style,"[('Bluchers', 0.621), ('Brogues', 0.551), ('Derbies', 0.52), ('Oxfords', 0.511)]"
20,Slim,9797,slim style,"[('Narrow cut', 0.794), ('Skinny fit', 0.725), ('Slender silhouette', 0.706), ('Streamlined look', 0.534)]"
21,"Flat Front, Flat front",9347,flat front style,"[('Plain Front ', 0.704), ('Straight Cut ', 0.595), ('Clean Line ', 0.486)]"
22,Necklace & Earings,9321,necklace earings style,"[('Jewellery ensemble', 0.634), ('Jewellery combination', 0.619), ('Jewellery set', 0.589), ('Jewellery adornment', 0.574)]"
23,"Pullover, Pullovers",8756,pullovers style,"[('Knitwear ', 0.453), ('Sweaters ', 0.452), ('Jumpers ', 0.445)]"
24,"Kurta Pyjama Sets, Kurta+Pyjama+Sets",8726,kurta pyjama sets style,"[('Kurta-Pyjama Ensembles', 0.718), ('Kurta-Pyjama Combos', 0.703), ('Kurta-Pyjama Suits', 0.659), ('Kurta-Pyjama Outfits', 0.644)]"
25,Regular Kurtas,8725,regular kurtas style,"[('Conventional Kurtas Style', 0.776), ('Usual Kurtas Style', 0.77), ('Standard Kurtas Style', 0.756), ('Traditional Kurtas Style', 0.689)]"
26,"T-shirts, Tshirts, T-shirt",8611,t shirt style,"[('Tee-shirt design', 0.693), ('Tee-shirt shape', 0.668), ('Tee-shirt cut', 0.661), ('Tee-shirt silhouette', 0.647)]"
27,Wall Art,8561,wall art style,"[('Wall Fashion', 0.737), ('Wall Design', 0.735), ('Wall Graphics', 0.712), ('Wall Decor', 0.659)]"
28,Pyjamas,8404,pyjamas style,"[('Jammies', 0.575), ('Sleepwear', 0.486), ('Nightwear', 0.418), ('Loungewear', 0.386)]"
29,Solid,8304,solid style,"[('Firm Design', 0.547), ('Robust Fashion', 0.534), ('Sturdy Look', 0.533), ('Strong Style', 0.484)]"
30,Joggers,8169,joggers style,"[('Running Trousers', 0.493), ('Tracksuit', 0.49), ('Athleisure', 0.48), ('Sweatpants', 0.476)]"
31,Palazzo,8109,palazzo style,"[('Mansion-style', 0.687), ('Regal-style', 0.524), ('Magnificent-style', 0.474), ('Grandeur-style', 0.443)]"
32,Running,7653,running style,"[('Marching', 0.467), ('Prancing', 0.445), ('Strutting', 0.445), ('Sashaying', 0.432)]"
33,Cushion Covers,7593,cushion covers style,"[('Cushion Cases', 0.757)]"
34,Slip Covers & Chair Pads,7443,slip covers chair pads style,"[('Chair Protectors', 0.756), ('Furniture Slipcovers', 0.719), ('Upholstery Covers', 0.647), ('Seat Cushions', 0.59)]"
35,City Shorts,7367,city shorts style,"[('Urban cut-offs', 0.699), ('Town Trousers', 0.647), ('Downtown Capris', 0.524), ('Metropolis Bermudas', 0.454)]"
36,Unstitched,7161,unstitched style,"[('Unhemmed', 0.792), ('Raw-Hemmed', 0.787), ('Frayed Edge', 0.778), ('Unfinished Look', 0.752)]"
37,Pants,6900,pants style,"[('Trousers', 0.74)]"
38,Skinny,6742,skinny style,"[('Narrow', 0.757), (‘Tailored’, 0.464), ('Streamlined', 0.429)]"
39,Slings & Satchels,6629,slings satchels style,"[('Bags ', 0.636), ('Totes ', 0.59), ('Purses ', 0.558), ('Carriers ', 0.536)]"
40,Bikers & Bombers,6074,bikers bombers style,"[('Motorcycle Enthusiasts Apparel', 0.597), ('Biker Gang Attire', 0.59), ('Chopper Outfits', 0.554), ('Cruiser Clothing', 0.427)]"
41,Indian,6052,indian style,"[('Desi Look', 0.583), ('Traditional Attire', 0.463), ('Cultural Clothing', 0.412)]"
42,Dupatta,5888,dupatta style,"[('Stole Style', 0.771), ('Shawl Style', 0.481), ('Wrap Style', 0.479), ('Scarf Style', 0.464)]"
43,Totes & Hobos,5627,totes hobos style,"[('Grunge ', 0.686), ('Punk ', 0.565), ('Streetwear ', 0.37), ('Urban Chic ', 0.326)]"
44,Chunky Heels,5562,chunky heels style,"[('Block Heels', 0.766)]"
45,"Jhumka, Jhumkas",5536,jhumkas style,"[('Jhumka Style', 0.73), ('Jhumki Design', 0.709), ('Jhumka Look', 0.659), ('Jhumka Fashion', 0.608)]"
46,Capris,5500,capris style,"[('Three-quarter pants', 0.473), ('High-waters', 0.421), ('Cropped trousers', 0.406), ('Pedal pushers', 0.328)]"
47,Sweatshirts & Tracks,5191,sweatshirts tracks style,"[('Hoodies', 0.665), ('Pullovers', 0.626), ('Tracksuits', 0.594)]"
48,Sports,5010,sports style,"[('Sportswear', 0.558), ('Athletic Wear', 0.449), ('Exercise Clothing', 0.42), ('Activewear', 0.392)]"
49,Shorts,4947,shorts style,"[('Cutoffs', 0.732), ('Hotpants', 0.558), ('Bermudas', 0.445)]"
50,Bra & Panty,4668,bra panty style,"[('Lingerie', 0.623), ('Undergarment Set', 0.592), ('Undies', 0.582), ('Intimate Apparel', 0.423)]"
51,"Short Necklace, Short Necklaces",4474,short necklaces style,[]
52,Fitted,4449,fitted style,"[('Form-Fitting', 0.543)]"
53,"Link Bracelet, Link Bracelets",4386,link bracelets style,"[('Chain wristbands', 0.662), ('Connected bangles', 0.618), ('Interlocked cuffs', 0.612), ('Linked armlets', 0.541)]"
54,Door Curtains,4293,door curtains style,"[('Doorway curtain fashion', 0.791), ('Door drapery fashion', 0.751), ('Doorway draperies style', 0.72), ('Doorway drapery style', 0.715)]"
55,"Hipsters, Hipster",4280,hipsters style,"[('Bohemian', 0.575), ('Trendy', 0.565), ('Retro', 0.527), ('Indie', 0.453)]"
56,Stylised,4019,stylised style,"[('Trendy', 0.575), ('Chic', 0.557), ('Fashionable', 0.487), ('Glamorous', 0.454)]"
57,Nighties & Nightgowns,3970,nighties nightgowns style,"[('Nightdresses', 0.817), ('Sleepwear', 0.62), ('Intimates', 0.429), ('Loungewear', 0.373)]"
58,Shoulder,3966,shoulder style,[]
59,"Hoops & Huggies, Hoop & Huggie",3958,hoops huggies style,"[('Earrings (Danglers)', 0.534), ('Earrings (Circle)', 0.489), ('Earrings (Loop)', 0.487), ('Earrings (Cuffs)', 0.456)]"
60,"Multi-Piece Sets, Multi-piece Sets",3918,multi piece sets style,"[('Suiting Combinations', 0.62), ('Ensemble Outfits', 0.596), ('Coordinated Apparel', 0.531), ('Matching Garments', 0.43)]"
61,Anarkali,3796,anarkali style,[]
62,"Bi-fold, Bi-Folds, Bi-folds",3665,bi folds style,"[('Pleats', 0.617), ('Fan folds', 0.535), ('Accordion folds', 0.509), ('Knife pleats', 0.405)]"
63,Jumpsuits,3652,jumpsuits style,"[('Jumpsuits Trend', 0.733), ('Jumpsuits Fashion', 0.722), ('Jumpsuits Look', 0.718), ('Jumpsuits Outfit', 0.682)]"
