keyword,synonyms,type
,1 Aard,synonym
,1 Acre,synonym
,1 L|1000 ml|1 Litre|1 Liter|1 Litres|1 Liters,synonym
,1 kg|1000 g|1000 grams|1 kilo|1 kilogram|1 kilograms,synonym
,1/2|0.5,synonym
,10 Generation|10th Generation,synonym
,10k mAh|10000 mAh,synonym
,11 generation|11th generation,synonym
,12 Generation|12th Generation,synonym
,2 L|2000 ml|2 Litre|2 Liter|2 Litres|2 Liters,synonym
,2 door|two door|double door,synonym
,2 kg|2000 g|2000 grams|2 kilo|2 kilogram|2 kilograms,synonym
,20000 mAh|20k mAh,synonym
,5 L|5000 ml|5 Litre|5 Liter|5 Litres|5 Liters,synonym
,5 kg|5000 g|5000 grams|5 kilo|5 kilogram|5 kilograms,synonym
,500 g|500 gram|500 grams|half kg|half kilo|1/2 kg,synonym
,500 ml|half litre|0.5 L|0.5 Litre|1/2 L|1/2 Litre,synonym
,750d|d750,synonym
,780d|d780,synonym
,8085b| mms8085b,synonym
,Adult Diaper|Absord Pants|Adult Diaper Pants,synonym
,Ajwain|Owa|Ayamodakam|Omam,synonym
,Anasphal|Chakri Phool|Anasa Puvu|Thakkolam|Annachi Poo,synonym
,Antiseptic Disinfectant Liquid|Antiseptic Liquid|Disinfectant Liquid,synonym
,Asus book|asus vivobook|Vivobook,synonym
,Badi Elaichi|Kali Elaichi|Mothi Elaychi|Veldoda|Nalla Yalakulu|Karupp Elam|Karuppu Elakkay,synonym
,Barph Matar|Barf Matar|Thanda Matar,synonym
,Bath Soap|Bathing Soap|Bathing Bar,synonym
,Black Cumin|Nigella Seeds|Black Onion seeds,synonym
,Black Til|Kala Til|Karutha ellu|Karuppu ellu,synonym
,Body Lotion|Body Butter|Body Milk|Body Cream|Lotion,synonym
,Body Mist|Body Splash|Fragrance Mist|Fragrant Body Mist,synonym
,Chopping Board|Cutting Board|Chop Board,synonym
,Chopping|Chopper|chop,synonym
,Choti Elaichi|Hari Elaichi|Velchi|Yalakulu|Elaikka|Elakkay,synonym
,Chrysanthamum|chrysanthamum flowers,synonym
,Cold Relief Balm|Cold Balm,synonym
,Cowpea beans|Bean Cow Pea,synonym
,Dalchini powder| Karuvapatta podi| Ilavangappattai podi,synonym
,Deodrant|Deo|Deodorizer|Deo Spray|Deo Body Spray|Body Deodrant|Deodrant Spray|eau fraiche,synonym
,Dhaniya powder|Dhanepud|Malli podi|Kothamalli podi,synonym
,Dishwash|dishwasher|dish washing,synonym
,Elaichi powder|Elaikka podi|Elakkai Podi,synonym
,Fairness Cream|Face Cream|Radiance Cream,synonym
,Fennel seeds|fennel,synonym
,Frying pan,synonym
,Fry|Frying,synonym
,Google Cardboard|VR Headset|okter|Daydream|oculus|quest|rift|JioDive,synonym
,Gud|Gur|Gul|Bellam|Bella|Chakkara|Vellam,synonym
,HD ready|HDR,synonym
,HP Pavilion|pavilion,synonym
,Hair Cream|Hair Gel|Leave In Cream|Hair Fixing Spray|Hair Fixer,synonym
,Haldi powder|Manjal Podi,synonym
,Haldi|Halud|Halad,synonym
,Heeng|Hing|Inguva|Kaayam|Perunkayam,synonym
,Ideapad|Lenovo idea|Lenovo pad,synonym
,Inktank|inkjet,synonym
