name,searchable,facetable,filterable,fetchable,data_type
ageing_double,false,true,true,true,double
allPromotions_string_mv,true,false,true,true,string_mv
averageRating_double,true,true,true,true,double
brandName_text_en_mv,true,true,true,true,text_en_mv
brandtype_en_string_mv,true,false,true,true,string_mv
brandtype_string_mv,true,true,true,true,string_mv
brickprimarycolor_en_string_mv,true,true,true,true,string_mv
brickstyletype_en_string_mv,true,true,true,true,string_mv
catalogCommercialType_string,true,true,true,true,string
catalogId,true,false,true,true,string
category_string_mv,true,true,true,true,string_mv
code_string,true,false,true,true,string
colorGroup_string,true,true,true,true,string
commercialType_string,true,true,true,true,string
creationtime_date,false,false,true,true,date
discountType_string,true,true,true,true,string
dod_enabled_int,false,false,true,true,int
dod_price_inr_double,false,false,true,true,double
dohL30_double,false,false,true,true,double
earlyAccessPrice_float,false,false,true,true,float
exactdiscount_int,false,false,true,true,int
exclusiveTill_date,false,false,true,true,date
extraImages_string_mv,false,false,false,true,string_mv
futureDiscountPercentage_double,false,false,true,true,double
futureListPrice_inr_double,false,false,true,true,double
golivedays_int,false,false,true,true,int
id,true,false,true,true,string
img-174Wx218H_string,false,false,false,true,string
img-286Wx359H_string,false,false,false,true,string
img-288Wx360H_string,false,false,false,true,string
img-473Wx593H_string,false,false,false,true,string
img-thumbNail_string,false,false,false,true,string
inStockCount_double,false,false,true,true,double
inStockFlag_boolean,false,false,true,true,boolean
inTakeMarginPerc_double,false,false,true,true,double
isCodDisabled_boolean,false,false,true,true,boolean
l1category_string_mv,true,true,true,true,string_mv
l1l2category_en_string_mv,true,true,true,true,string_mv
l1l3category_en_string_mv,true,true,true,true,string_mv
l2category_string_mv,true,true,true,true,string_mv
l3category_string_mv,true,true,true,true,string_mv
mrp_double,false,false,true,true,double
name_text_en,true,false,true,true,text_en
netDohL30_double,false,false,true,true,double
netRosL30_double,false,false,true,true,double
numUserRatings_int,false,true,true,true,int
outfitPicture_string,false,false,false,true,string
planningCategory_text_en,true,true,true,true,text_en
priceValue_inr_double,false,false,true,true,double
price_inr_double,false,false,true,true,double
primaryPromotionCode_string,false,false,true,true,string
productToggleOn_string,false,false,true,true,string
rosL30_double,false,false,true,true,double
seasonCodeYear_string,false,false,true,true,string
segmentProductTagValidity_date,false,false,true,true,date
segmentProductTag_string,true,false,true,true,string
sizeData_string_mv,true,true,true,true,string_mv
size_en_string,true,true,true,true,string
tradeDiscountedValue_double,false,false,true,true,double
url_en_string,false,false,false,true,string
wasPrice_double,false,false,true,true,double
webcategory_string_mv,true,true,true,true,string_mv
